Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Elvis Rexhbeçaj,de GER,MF,Augsburg,26-079,1997,16.2,374,510,73.3,5925,1724,177,219,80.8,153,196,78.1,25,50,50.0,0,0.4,1.0,-0.4,10,47,10,3,63
Gio Reyna,us USA,"MF,FW",Dortmund,21-067,2002,2.6,145,169,85.8,2075,496,93,100,93.0,45,55,81.8,4,6,66.7,0,0.8,0.9,-0.8,7,13,4,2,14
Marco Richter,de GER,"FW,MF",Mainz 05,26-056,1997,5.9,137,215,63.7,2422,886,69,83,83.1,40,71,56.3,21,45,46.7,0,0.7,1.3,-0.7,8,20,9,2,25
Clemens Riedel,de GER,DF,Darmstadt 98,20-184,2003,5.1,297,354,83.9,5927,1677,94,108,87.0,164,176,93.2,34,51,66.7,0,0.6,0.2,-0.6,4,24,1,0,27
Manuel Riemann,de GER,GK,Bochum,35-132,1988,17.0,533,879,60.6,17889,15019,75,77,97.4,191,194,98.5,263,602,43.7,0,0.1,0.2,-0.1,2,42,2,0,6
Sebastian Rode,de GER,MF,Eint Frankfurt,33-100,1990,0.3,21,29,72.4,345,120,11,14,78.6,8,12,66.7,1,2,50.0,0,0.0,0.1,0.0,0,3,2,0,6
Rogério,br BRA,"DF,MF",Wolfsburg,26-006,1998,6.1,279,330,84.5,4348,1422,149,159,93.7,111,130,85.4,14,23,60.9,0,0.1,0.3,-0.1,2,19,4,3,34
Merlin Röhl,de GER,"MF,FW",Freiburg,21-198,2002,9.5,191,243,78.6,2779,583,105,131,80.2,65,73,89.0,10,16,62.5,4,1.8,1.3,+2.2,8,24,4,1,21
Frank Ronstadt,de GER,"DF,MF",Darmstadt 98,26-182,1997,0.8,35,42,83.3,479,178,21,23,91.3,13,15,86.7,0,1,0.0,0,0.1,0.1,-0.1,2,2,2,1,2
Anthony Rouault,fr FRA,DF,Stuttgart,22-235,2001,5.6,364,423,86.1,6364,2416,162,181,89.5,165,176,93.8,32,45,71.1,1,0.4,0.7,+0.6,3,37,4,1,29
Jérôme Roussillon,fr FRA,DF,Union Berlin,31-013,1993,6.0,206,276,74.6,3240,1527,108,127,85.0,82,102,80.4,11,29,37.9,1,0.4,0.4,+0.6,6,16,5,2,30
