Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Fabian Holland,de GER,"MF,DF",Darmstadt 98,33-192,1990,12.0,658,34,169,382,109,7,658,9,5,55.6,3,33.3,352,1562,766,7,6,1,12,7,402,19
Benedict Hollerbach,de GER,"FW,MF",Union Berlin,22-247,2001,3.9,197,5,28,83,93,20,197,27,16,59.3,11,40.7,117,950,446,15,7,8,17,12,119,33
Franck Honorat,fr FRA,"DF,FW",M'Gladbach,27-161,1996,14.7,844,13,157,297,400,39,844,28,10,35.7,14,50.0,471,2580,1419,48,32,13,9,7,535,150
Mathias Honsak,at AUT,"MF,FW",Darmstadt 98,27-030,1996,6.6,277,13,47,103,128,23,277,17,3,17.6,14,82.4,167,882,317,14,9,5,31,6,202,42
Fraser Hornby,sct SCO,"FW,MF",Darmstadt 98,24-128,1999,2.4,91,5,8,34,51,18,91,4,1,25.0,3,75.0,38,234,125,7,3,4,4,4,57,7
Lukáš Hrádecký,fi FIN,GK,Leverkusen,34-056,1989,17.0,503,409,492,11,0,0,503,0,0,,0,,279,1471,819,0,1,1,0,0,242,0
Timo Hübers,de GER,DF,Köln,27-183,1996,16.9,1242,158,700,527,31,16,1242,6,4,66.7,2,33.3,728,3677,2049,10,8,1,10,4,750,1
Mats Hummels,de GER,DF,Dortmund,35-034,1988,11.0,1051,99,432,575,56,14,1051,6,1,16.7,4,66.7,691,3532,2114,8,11,0,3,4,737,0
Denis Huseinbasic,de GER,MF,Köln,22-200,2001,6.1,298,10,67,179,58,4,298,5,2,40.0,2,40.0,166,892,378,10,5,2,7,7,188,10
Iago,br BRA,"DF,FW",Augsburg,26-302,1997,6.7,314,26,105,141,76,12,314,16,10,62.5,5,31.3,158,927,492,10,7,2,15,6,146,17
Thomas Isherwood,se SWE,DF,Darmstadt 98,25-356,1998,3.6,220,24,114,96,11,2,220,1,1,100.0,0,0.0,132,768,471,5,5,0,2,0,153,1
Ko Itakura,jp JPN,DF,M'Gladbach,26-357,1997,6.8,413,58,201,197,18,9,413,3,1,33.3,2,66.7,207,1131,590,3,5,0,3,1,248,0
Hiroki Ito,jp JPN,DF,Stuttgart,24-252,1999,10.9,947,39,295,503,151,8,947,7,4,57.1,2,28.6,559,2584,1189,18,19,1,6,4,704,22
Lee Jae-sung,kr KOR,MF,Mainz 05,31-162,1992,12.4,553,15,83,301,173,35,553,24,10,41.7,10,41.7,245,1128,442,11,9,0,26,13,373,55
Paul Jaeckel,de GER,DF,Union Berlin,25-181,1998,2.4,150,6,76,71,4,0,150,1,0,0.0,0,0.0,90,348,184,1,1,0,1,1,104,1
Kristijan Jakić,hr CRO,"MF,FW",Eint Frankfurt,26-250,1997,2.2,132,8,25,82,25,3,132,2,0,0.0,2,100.0,70,360,89,3,4,1,1,3,85,9
Tony Jantschke,de GER,"DF,MF",M'Gladbach,33-287,1990,0.2,12,4,8,4,0,0,12,0,0,,0,,3,10,0,0,0,0,0,0,4,0
Fredrik Jensen,fi FIN,"FW,MF",Augsburg,26-132,1997,8.4,342,14,49,139,156,21,342,21,5,23.8,15,71.4,164,802,380,13,7,3,11,8,192,41
Moritz Jenz,de GER,DF,Wolfsburg,24-264,1999,9.5,597,88,333,258,9,2,597,0,0,,0,,332,1692,873,0,1,0,4,2,383,1
Anthony Jung,de GER,"DF,FW",Werder Bremen,32-077,1991,14.4,992,130,482,471,40,3,992,2,2,100.0,0,0.0,535,2639,1302,8,5,1,5,1,648,14
Josip Juranović,hr CRO,DF,Union Berlin,28-156,1995,7.6,459,26,132,186,146,8,459,12,4,33.3,6,50.0,191,1111,628,15,7,2,7,4,213,25
Julian Justvan,de GER,"FW,MF",Hoffenheim,25-292,1998,0.5,57,1,11,19,28,3,57,0,0,,0,,32,307,222,8,4,1,1,1,47,12
Ozan Kabak,tr TUR,DF,Hoffenheim,23-300,2000,11.7,743,84,292,401,52,14,743,7,2,28.6,5,71.4,420,2028,1182,9,6,0,6,1,495,2
