Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Koen Casteels,be BEL,GK,Wolfsburg,31-208,1992,14.0,2,0.14,2,0,0,0,0,0,1,0.07,1,0,0,0,0,0
Václav Černý,cz CZE,"FW,MF",Wolfsburg,26-094,1997,6.8,22,3.21,20,1,1,0,0,0,2,0.29,2,0,0,0,0,0
Julian Chabot,de GER,DF,Köln,25-341,1998,14.4,16,1.11,11,0,0,2,3,0,1,0.07,0,0,0,1,0,0
Fares Chaïbi,dz ALG,"MF,FW",Eint Frankfurt,21-052,2002,10.4,35,3.35,20,10,0,4,1,0,7,0.67,5,0,0,2,0,0
Fabio Chiarodia,it ITA,"DF,MF",M'Gladbach,18-228,2005,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kingsley Coman,fr FRA,FW,Bayern Munich,27-220,1996,9.5,52,5.49,42,0,6,2,2,0,7,0.74,6,0,0,1,0,0
Bambasé Conté,de GER,"FW,MF",Hoffenheim,20-196,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Danny da Costa,de GER,DF,Mainz 05,30-190,1993,8.1,15,1.85,12,2,1,0,0,0,1,0.12,1,0,0,0,0,0
Nicolas Cozza,fr FRA,DF,Wolfsburg,25-011,1999,3.1,4,1.30,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Tomáš Čvančara,cz CZE,FW,M'Gladbach,23-159,2000,7.1,13,1.83,7,0,1,5,0,0,2,0.28,1,0,0,1,0,0
Finn Dahmen,de GER,GK,Augsburg,25-298,1998,17.0,5,0.29,2,3,0,0,0,0,0,0.00,0,0,0,0,0,0
Lukas Daschner,de GER,"MF,FW",Bochum,25-110,1998,3.4,12,3.53,8,1,1,0,2,0,2,0.59,2,0,0,0,0,0
David Datro Fofana,ci CIV,"FW,MF",Union Berlin,21-028,2002,7.6,28,3.70,14,1,6,7,0,0,2,0.26,2,0,0,0,0,0
Alphonso Davies,ca CAN,DF,Bayern Munich,23-078,2000,13.1,50,3.83,43,1,2,1,2,1,9,0.69,6,1,1,0,1,0
Olivier Deman,be BEL,DF,Werder Bremen,23-288,2000,9.3,21,2.26,17,1,2,0,1,0,1,0.11,1,0,0,0,0,0
Ermedin Demirović,ba BIH,"MF,FW",Augsburg,25-300,1998,16.2,35,2.16,23,0,4,4,4,0,6,0.37,5,0,1,0,0,0
Sepp van den Berg,nl NED,DF,Mainz 05,22-030,2001,14.5,10,0.69,9,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Justin Diehl,de GER,FW,Köln,19-053,2004,0.3,3,8.71,0,2,0,1,0,0,0,0.00,0,0,0,0,0,0
Florian Dietz,de GER,FW,Köln,25-169,1998,0.5,1,2.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Junior Dina Ebimbe,fr FRA,"MF,DF",Eint Frankfurt,23-059,2000,11.4,24,2.11,18,0,3,3,0,0,1,0.09,1,0,0,0,0,0
Eren Dinkçi,de GER,"MF,FW",Heidenheim,22-037,2001,14.3,43,3.01,28,3,4,3,5,0,4,0.28,3,0,1,0,0,0
Ritsu Doan,jp JPN,"MF,FW",Freiburg,25-217,1998,11.8,35,2.97,19,7,4,1,4,0,2,0.17,1,0,0,0,1,0
Danilho Doekhi,nl NED,DF,Union Berlin,25-203,1998,8.0,8,1.00,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Niklas Dorsch,de GER,MF,Augsburg,26-004,1998,12.7,13,1.03,9,0,1,2,1,0,1,0.08,1,0,0,0,0,0
Nikola Dovedan,at AUT,"MF,FW",Heidenheim,29-197,1994,2.7,9,3.31,6,0,0,2,1,0,0,0.00,0,0,0,0,0,0
Damion Downs,de GER,"FW,MF",Köln,19-197,2004,0.3,1,3.75,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Dion Drena Beljo,hr CRO,"FW,MF",Augsburg,21-324,2002,4.5,13,2.91,7,0,2,1,3,0,2,0.45,1,0,0,1,0,0
Marvin Ducksch,de GER,FW,Werder Bremen,29-318,1994,15.1,52,3.45,24,20,3,3,1,1,7,0.46,4,1,0,1,1,0
Maximilian Eggestein,de GER,MF,Freiburg,27-042,1996,16.5,33,2.01,27,0,2,4,0,0,0,0.00,0,0,0,0,0,0
Lilian Egloff,de GER,"MF,DF",Stuttgart,21-152,2002,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Elif Elmas,mk MKD,DF,RB Leipzig,24-117,1999,0.0,1,30.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Nico Elvedi,ch SUI,DF,M'Gladbach,27-111,1996,12.9,11,0.85,10,0,0,1,0,0,1,0.08,1,0,0,0,0,0
Arne Engels,be BEL,"MF,DF",Augsburg,20-133,2003,7.7,27,3.48,18,6,0,1,2,0,5,0.64,3,0,0,0,2,0
Ohis Felix Uduokhai,de GER,DF,Augsburg,26-132,1997,15.5,4,0.26,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Edimilson Fernandes,ch SUI,DF,Mainz 05,27-279,1996,10.7,28,2.61,12,13,0,2,0,1,2,0.19,1,1,0,0,0,0
Nacho Ferri,es ESP,"FW,MF",Eint Frankfurt,19-106,2004,0.6,2,3.40,1,0,0,1,0,0,1,1.70,1,0,0,0,0,0
Max Finkgräfe,de GER,"DF,MF",Köln,19-298,2004,4.1,10,2.45,7,1,1,0,0,1,0,0.00,0,0,0,0,0,0
Jonas Föhrenbach,de GER,DF,Heidenheim,27-358,1996,15.1,26,1.72,22,1,1,1,1,0,3,0.20,2,1,0,0,0,0
Emil Forsberg,se SWE,"MF,FW",RB Leipzig,32-088,1991,5.2,16,3.10,11,2,0,3,0,0,4,0.78,3,0,0,1,0,0
Philipp Förster,de GER,"MF,FW",Bochum,28-349,1995,2.5,13,5.25,5,6,0,1,0,1,0,0.00,0,0,0,0,0,0
Bartol Franjić,hr CRO,MF,Darmstadt 98,24-005,2000,7.0,10,1.43,9,0,0,0,0,1,2,0.29,2,0,0,0,0,0
Marco Friedl,at AUT,DF,Werder Bremen,25-309,1998,12.4,2,0.16,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marvin Friedrich,de GER,DF,M'Gladbach,28-037,1995,6.4,7,1.09,6,0,1,0,0,0,1,0.16,1,0,0,0,0,0
Jeremie Frimpong,nl NED,DF,Leverkusen,23-040,2000,15.6,49,3.14,36,0,10,2,1,0,6,0.38,5,0,1,0,0,0
Chris Führich,de GER,"FW,MF",Stuttgart,26-010,1998,14.9,80,5.37,51,10,9,8,1,1,12,0.81,9,1,2,0,0,0
Niclas Füllkrug,de GER,FW,Werder Bremen,30-344,1993,2.0,7,3.50,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Niclas Füllkrug,de GER,FW,Dortmund,30-344,1993,12.1,27,2.23,25,0,0,2,0,0,6,0.50,5,0,0,1,0,0
Cristian Gamboa,cr CRC,DF,Bochum,34-087,1989,11.3,16,1.41,12,2,0,2,0,0,2,0.18,1,1,0,0,0,0
Yannick Gerhardt,de GER,"MF,FW",Wolfsburg,29-312,1994,7.7,14,1.81,12,0,0,1,1,0,0,0.00,0,0,0,0,0,0
Anwar El Ghazi,nl NED,"MF,DF",Mainz 05,28-261,1995,0.6,4,6.67,2,0,2,0,0,0,1,1.67,1,0,0,0,0,0
Benedikt Gimber,de GER,DF,Heidenheim,26-334,1997,7.7,4,0.52,4,0,0,0,0,0,1,0.13,1,0,0,0,0,0
Matthias Ginter,de GER,DF,Freiburg,30-000,1994,15.3,26,1.70,21,1,0,1,2,1,3,0.20,2,0,0,0,0,1
Klaus Gjasula,al ALB,"DF,MF",Darmstadt 98,34-036,1989,7.0,8,1.14,7,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Serge Gnabry,de GER,"FW,MF",Bayern Munich,28-189,1995,2.5,11,4.38,7,0,0,4,0,0,0,0.00,0,0,0,0,0,0
Leon Goretzka,de GER,MF,Bayern Munich,28-347,1995,9.4,23,2.46,20,1,0,0,1,1,3,0.32,3,0,0,0,0,0
Robin Gosens,de GER,"DF,MF",Union Berlin,29-198,1994,10.8,28,2.59,21,1,1,2,0,3,4,0.37,2,0,1,0,0,1
Mario Götze,de GER,MF,Eint Frankfurt,31-230,1992,9.6,29,3.02,22,6,0,0,1,0,3,0.31,3,0,0,0,0,0
Jeffrey Gouweleeuw,nl NED,DF,Augsburg,32-193,1991,13.0,15,1.15,14,0,0,1,0,0,1,0.08,1,0,0,0,0,0
Jens Grahl,de GER,GK,Eint Frankfurt,35-119,1988,1.0,1,1.00,1,0,0,0,0,0,1,1.00,1,0,0,0,0,0
Ryan Gravenberch,nl NED,FW,Bayern Munich,21-248,2002,0.1,3,27.00,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Michael Gregoritsch,at AUT,FW,Freiburg,29-276,1994,7.4,21,2.83,14,0,1,3,2,1,2,0.27,1,0,0,1,0,0
Vincenzo Grifo,it ITA,"MF,FW",Freiburg,30-287,1993,13.1,53,4.05,32,15,2,3,1,0,7,0.53,2,3,0,1,1,0
Florian Grillitsch,at AUT,"MF,DF",Hoffenheim,28-165,1995,9.6,22,2.30,15,0,1,4,0,2,3,0.31,2,0,0,1,0,0
Álex Grimaldo,es ESP,DF,Leverkusen,28-121,1995,16.9,53,3.13,34,11,3,3,2,0,13,0.77,6,2,1,2,2,0
Christian Groß,de GER,"MF,DF",Werder Bremen,34-345,1989,5.1,3,0.59,3,0,0,0,0,0,1,0.20,1,0,0,0,0,0
Brajan Gruda,de GER,"MF,FW",Mainz 05,19-233,2004,9.2,54,5.86,32,8,4,4,6,0,1,0.11,1,0,0,0,0,0
Ilia Gruev,bg BUL,MF,Werder Bremen,23-258,2000,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Raphaël Guerreiro,pt POR,"MF,DF",Bayern Munich,30-028,1993,4.2,7,1.67,5,0,0,1,0,1,1,0.24,1,0,0,0,0,0
Josuha Guilavogui,fr FRA,DF,Mainz 05,33-122,1990,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Serhou Guirassy,gn GUI,FW,Stuttgart,27-313,1996,11.7,43,3.67,33,0,5,1,4,0,8,0.68,2,0,4,0,2,0
Manuel Gulde,de GER,DF,Freiburg,32-341,1991,9.0,9,1.00,8,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Robert Gumny,pl POL,DF,Augsburg,25-229,1998,5.2,11,2.13,6,2,1,2,0,0,3,0.58,3,0,0,0,0,0
Christian Günter,de GER,DF,Freiburg,30-325,1993,1.0,5,5.06,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Janik Haberer,de GER,MF,Union Berlin,29-292,1994,9.6,20,2.09,18,0,0,1,1,0,1,0.10,1,0,0,0,0,0
Robin Hack,de GER,"FW,MF",M'Gladbach,25-145,1998,4.7,12,2.55,8,1,2,1,0,0,2,0.42,2,0,0,0,0,0
Amadou Haidara,ml MLI,MF,RB Leipzig,25-353,1998,7.1,24,3.39,22,0,0,0,1,1,2,0.28,1,0,0,0,1,0
Sébastien Haller,ci CIV,FW,Dortmund,29-211,1994,4.0,10,2.53,9,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Andreas Hanche-Olsen,no NOR,DF,Mainz 05,27-002,1997,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Genki Haraguchi,jp JPN,MF,Stuttgart,32-255,1991,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Makoto Hasebe,jp JPN,"DF,MF",Eint Frankfurt,40-001,1984,0.4,1,2.43,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Thorgan Hazard,be BEL,DF,Dortmund,30-296,1993,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Dominique Heintz,de GER,DF,Köln,30-157,1993,4.6,8,1.76,7,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Benjamin Henrichs,de GER,DF,RB Leipzig,26-330,1997,14.9,54,3.63,42,3,3,3,1,2,5,0.34,4,0,0,0,1,0
Patrick Herrmann,de GER,"DF,FW",M'Gladbach,32-341,1991,0.5,2,4.09,2,0,0,0,0,0,1,2.05,1,0,0,0,0,0
Piero Hincapié,ec ECU,DF,Leverkusen,22-010,2002,4.3,4,0.94,3,0,0,1,0,0,2,0.47,2,0,0,0,0,0
Adam Hložek,cz CZE,"FW,MF",Leverkusen,21-178,2002,1.7,8,4.65,6,0,0,2,0,0,0,0.00,0,0,0,0,0,0
Nicolas Höfler,de GER,MF,Freiburg,33-316,1990,11.9,19,1.60,16,0,0,2,0,1,1,0.08,1,0,0,0,0,0
Jonas Hofmann,de GER,MF,Leverkusen,31-189,1992,15.1,90,5.96,65,18,1,4,1,1,11,0.73,5,4,0,1,1,0
Philipp Hofmann,de GER,FW,Bochum,30-295,1993,8.9,22,2.47,17,0,1,3,1,0,3,0.34,2,0,0,1,0,0
Lucas Höler,de GER,"FW,MF",Freiburg,29-193,1994,13.1,35,2.68,28,0,0,4,1,2,3,0.23,3,0,0,0,0,0
Fabian Holland,de GER,"MF,DF",Darmstadt 98,33-192,1990,12.0,30,2.50,25,3,1,0,1,0,4,0.33,3,1,0,0,0,0
Benedict Hollerbach,de GER,"FW,MF",Union Berlin,22-247,2001,3.9,14,3.63,10,0,2,1,1,0,1,0.26,0,0,1,0,0,0
Franck Honorat,fr FRA,"DF,FW",M'Gladbach,27-161,1996,14.7,67,4.55,41,25,0,0,1,0,9,0.61,6,3,0,0,0,0
Mathias Honsak,at AUT,"MF,FW",Darmstadt 98,27-030,1996,6.6,10,1.51,8,0,0,2,0,0,1,0.15,0,0,0,1,0,0
Fraser Hornby,sct SCO,"FW,MF",Darmstadt 98,24-128,1999,2.4,8,3.30,6,0,1,1,0,0,0,0.00,0,0,0,0,0,0
Lukáš Hrádecký,fi FIN,GK,Leverkusen,34-056,1989,17.0,1,0.06,1,0,0,0,0,0,1,0.06,1,0,0,0,0,0
Timo Hübers,de GER,DF,Köln,27-183,1996,16.9,11,0.65,9,0,0,2,0,0,0,0.00,0,0,0,0,0,0
Mats Hummels,de GER,DF,Dortmund,35-034,1988,11.0,14,1.27,12,0,0,1,0,1,2,0.18,1,0,0,1,0,0
Denis Huseinbasic,de GER,MF,Köln,22-200,2001,6.1,8,1.31,7,0,0,1,0,0,1,0.16,1,0,0,0,0,0
Iago,br BRA,"DF,FW",Augsburg,26-302,1997,6.7,16,2.38,13,1,1,0,0,1,2,0.30,2,0,0,0,0,0
Thomas Isherwood,se SWE,DF,Darmstadt 98,25-356,1998,3.6,1,0.28,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ko Itakura,jp JPN,DF,M'Gladbach,26-357,1997,6.8,3,0.44,3,0,0,0,0,0,1,0.15,1,0,0,0,0,0
Hiroki Ito,jp JPN,DF,Stuttgart,24-252,1999,10.9,28,2.57,25,0,1,2,0,0,6,0.55,6,0,0,0,0,0
Lee Jae-sung,kr KOR,MF,Mainz 05,31-162,1992,12.4,29,2.33,25,0,1,0,2,1,1,0.08,1,0,0,0,0,0
Paul Jaeckel,de GER,DF,Union Berlin,25-181,1998,2.4,1,0.41,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
