Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
Kevin Stöger,at AUT,MF,Bochum,30-145,1993,16,"1,265",79,82.7,14.1,16,79,7,0,,0,1.06,16,28,-12,-0.85,+0.17,18.6,22.4,-3.7,-0.27,+0.77
Filip Stojilković,ch SUI,"FW,MF",Darmstadt 98,24-015,2000,6,154,26,10.1,1.7,0,,0,6,26,2,0.00,0,4,-4,-2.34,-1.03,2.1,4.7,-2.6,-1.55,-0.50
Niklas Süle,de GER,DF,Dortmund,28-138,1995,12,620,52,40.5,6.9,4,90,4,8,33,4,1.42,11,10,+1,+0.15,-0.55,14.8,14.7,+0.1,+0.01,-0.36
Mattias Svanberg,se SWE,MF,Wolfsburg,25-014,1999,16,"1,223",76,79.9,13.6,15,80,4,1,20,1,1.25,18,21,-3,-0.22,+0.95,16.4,22.0,-5.6,-0.42,-0.46
Attila Szalai,hu HUN,DF,Hoffenheim,25-364,1998,4,288,72,18.8,3.2,4,72,2,0,,13,1.50,7,7,0,0.00,+0.07,5.0,6.4,-1.4,-0.42,-0.35
Jonathan Tah,de GER,DF,Leverkusen,27-342,1996,15,"1,307",87,85.4,14.5,15,87,13,0,,2,2.60,41,12,+29,+2.00,-0.42,30.6,15.2,+15.4,+1.06,-0.70
Japhet Tanganga,eng ENG,DF,Augsburg,24-294,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,
Edmond Tapsoba,bf BFA,DF,Leverkusen,24-351,1999,14,"1,173",84,76.7,13.0,13,88,11,1,24,1,2.57,35,12,+23,+1.76,-1.26,26.7,14.7,+12.0,+0.92,-1.04
Mathys Tel,fr FRA,"FW,MF",Bayern Munich,18-267,2005,12,231,19,16.0,2.6,0,,0,12,19,4,2.67,13,4,+9,+3.51,+1.42,7.9,3.7,+4.3,+1.65,-0.58
Nathan Tella,ng NGA,DF,Leverkusen,24-198,1999,8,79,10,5.2,0.9,0,,0,8,10,7,3.00,3,0,+3,+3.42,+1.43,2.3,0.8,+1.5,+1.69,+0.56
Norman Theuerkauf,de GER,"MF,DF",Heidenheim,36-360,1987,13,772,59,50.5,8.6,10,70,1,3,24,4,1.54,14,15,-1,-0.12,+0.60,10.9,19.6,-8.7,-1.01,-0.19
Niclas Thiede,de GER,GK,Bochum,24-280,1999,0,,,,,0,,0,0,,16,,,,,,,,,,,
Jan Thielmann,de GER,"FW,MF",Köln,21-238,2002,8,527,66,34.4,5.9,6,78,3,2,29,0,0.88,2,3,-1,-0.17,+1.35,4.8,9.2,-4.4,-0.75,+0.34
Denis Thomalla,de GER,"MF,FW",Heidenheim,31-156,1992,14,353,25,23.1,3.9,3,68,0,11,14,1,1.00,6,10,-4,-1.02,-0.79,6.2,9.0,-2.8,-0.71,+0.27
Phillip Tietz,de GER,FW,Augsburg,26-194,1997,17,"1,134",67,74.1,12.6,14,75,2,3,30,0,1.06,19,19,0,0.00,+1.82,17.5,18.7,-1.2,-0.09,+0.87
Steffen Tigges,de GER,"FW,MF",Köln,25-172,1998,12,392,33,25.6,4.4,4,65,0,8,16,3,0.92,3,1,+2,+0.46,+2.04,5.1,7.2,-2.1,-0.49,+0.65
Umut Tohumcu,de GER,MF,Hoffenheim,19-161,2004,5,215,43,14.1,2.4,3,63,0,2,13,6,1.40,5,3,+2,+0.84,+1.04,4.5,3.1,+1.4,+0.58,+0.83
Tiago Tomás,pt POR,"FW,MF",Wolfsburg,21-217,2002,15,603,40,39.4,6.7,6,66,0,9,23,1,1.13,5,12,-7,-1.04,-1.04,8.2,12.2,-4.0,-0.59,-0.45
Fabio Torsiello,it ITA,"FW,DF",Darmstadt 98,18-351,2005,4,30,8,2.0,0.3,0,,0,4,8,0,0.25,1,1,0,0.00,+1.44,0.4,1.4,-1.0,-2.93,-1.87
Lucas Tousart,fr FRA,MF,Union Berlin,26-265,1997,7,306,44,21.3,3.4,3,65,0,4,28,3,0.14,1,7,-6,-1.76,-1.13,5.0,4.1,+0.9,+0.25,+0.78
Omar Traoré,de GER,DF,Heidenheim,25-349,1998,15,"1,136",76,74.2,12.6,13,82,8,2,38,1,1.13,21,25,-4,-0.32,+0.37,16.6,30.2,-13.6,-1.08,-0.62
Kevin Trapp,de GER,GK,Eint Frankfurt,33-195,1990,16,"1,440",90,94.1,16.0,16,90,16,0,,0,1.50,24,19,+5,+0.31,-1.69,19.9,26.0,-6.1,-0.38,-1.44
Christopher Trimmel,at AUT,"DF,MF",Union Berlin,36-329,1987,12,752,63,52.2,8.4,8,82,4,4,24,4,0.67,8,21,-13,-1.56,-1.43,10.8,12.4,-1.6,-0.19,+0.36
Tuta,br BRA,DF,Eint Frankfurt,24-199,1999,16,"1,351",84,88.3,15.0,16,84,11,0,,1,1.63,23,18,+5,+0.33,-0.67,19.2,24.4,-5.2,-0.34,-0.39
