Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Omar Traoré,de GER,DF,Heidenheim,25-349,1998,12.6,576,430,145,8,0,0,27,137,0,0,0,0,417,1,28
Kevin Trapp,de GER,GK,Eint Frankfurt,33-195,1990,16.0,606,453,151,37,0,1,0,0,0,0,0,0,456,2,1
Christopher Trimmel,at AUT,"DF,MF",Union Berlin,36-329,1987,8.4,445,306,137,28,1,2,89,76,33,12,16,1,288,2,15
Tuta,br BRA,DF,Eint Frankfurt,24-199,1999,15.0,1049,994,54,29,1,4,5,25,0,0,0,0,887,1,20
Lukas Ullrich,de GER,DF,M'Gladbach,19-309,2004,0.2,11,10,1,0,0,0,2,1,0,0,0,0,4,0,2
Sven Ulreich,de GER,GK,Bayern Munich,35-169,1988,8.0,295,248,47,13,0,0,0,0,0,0,0,0,244,0,0
Deniz Undav,de GER,FW,Stuttgart,27-184,1996,9.7,308,287,18,1,5,1,3,5,0,0,0,0,232,3,19
Dayot Upamecano,fr FRA,DF,Bayern Munich,25-084,1998,12.7,1192,1172,19,11,1,8,1,7,0,0,0,0,1116,1,7
Mark Uth,de GER,"MF,FW",Köln,32-148,1991,2.9,101,80,21,6,1,0,14,0,10,5,3,0,69,0,6
Josha Vagnoman,de GER,"DF,FW",Stuttgart,23-039,2000,3.9,168,148,20,2,0,1,8,18,0,0,0,0,145,0,4
Ruben Vargas,ch SUI,"MF,FW",Augsburg,25-167,1998,8.8,239,208,30,8,2,1,32,12,8,4,3,0,160,1,13
Miloš Veljković,rs SRB,DF,Werder Bremen,28-115,1995,12.2,771,735,29,27,2,22,9,2,0,0,0,0,639,7,3
Oscar Vilhelmsson,se SWE,"FW,MF",Darmstadt 98,20-109,2003,5.4,76,72,4,0,0,0,5,0,0,0,0,0,35,0,4
Kevin Vogt,de GER,DF,Hoffenheim,32-118,1991,14.7,939,897,41,29,0,6,3,10,0,0,0,0,813,1,7
Kevin Vogt,de GER,DF,Union Berlin,32-118,1991,1.0,74,69,4,4,0,0,0,0,0,0,0,0,67,1,0
Kevin Volland,de GER,"MF,FW",Union Berlin,31-173,1992,6.5,174,168,5,2,1,0,17,1,2,1,1,0,106,1,8
Aster Vranckx,be BEL,MF,Wolfsburg,21-107,2002,7.8,356,346,10,9,1,2,9,0,0,0,0,0,302,0,6
Luca Waldschmidt,de GER,"MF,FW",Köln,27-245,1996,9.4,310,282,24,3,4,4,17,5,10,4,5,0,224,4,9
Wout Weghorst,nl NED,FW,Hoffenheim,31-165,1992,11.7,299,286,12,1,6,2,1,0,0,0,0,0,221,1,6
Julian Weigl,de GER,MF,M'Gladbach,28-133,1995,15.9,750,701,45,42,1,6,1,3,0,0,0,0,659,4,11
Nelson Weiper,de GER,"FW,MF",Mainz 05,18-308,2005,1.2,34,33,1,0,0,0,0,0,0,0,0,0,21,0,4
Mitchell Weiser,de GER,"DF,FW",Werder Bremen,29-273,1994,16.4,837,693,143,3,5,8,43,139,1,0,0,0,617,1,30
Noah Weißhaupt,de GER,"DF,MF",Freiburg,22-121,2001,5.9,277,245,31,7,0,2,35,23,1,0,1,0,210,1,6
Timo Werner,de GER,"FW,MF",RB Leipzig,27-319,1996,2.3,88,83,4,0,0,0,4,3,1,0,0,0,61,1,6
Silvan Widmer,ch SUI,"DF,FW",Mainz 05,30-320,1993,4.9,289,222,66,5,0,0,15,61,0,0,0,0,213,1,6
Patrick Wimmer,at AUT,FW,Wolfsburg,22-234,2001,3.1,88,84,4,1,0,2,6,2,1,1,0,0,59,0,4
Jonas Wind,dk DEN,FW,Wolfsburg,24-346,1999,16.6,356,328,26,1,6,0,5,0,0,0,0,0,244,2,9
Florian Wirtz,de GER,MF,Leverkusen,20-261,2003,14.3,974,935,30,5,16,4,11,14,6,1,0,0,807,9,28
Maximilian Wittek,de GER,"DF,MF",Bochum,28-151,1995,5.5,292,213,75,4,0,2,29,51,15,3,9,0,194,4,3
Maximilian Wöber,at AUT,DF,M'Gladbach,25-349,1998,14.7,962,894,66,15,0,3,16,38,0,0,0,0,784,2,9
Marius Wolf,de GER,DF,Dortmund,28-237,1995,7.0,464,387,74,7,1,2,31,67,0,0,0,0,340,3,16
Nick Woltemade,de GER,"FW,MF",Werder Bremen,21-339,2002,3.0,112,107,4,0,0,0,0,1,0,0,0,0,89,1,1
Jeong Woo-yeong,kr KOR,MF,Stuttgart,24-121,1999,4.2,165,161,3,0,0,2,6,1,2,1,0,0,136,1,4
Granit Xhaka,ch SUI,MF,Leverkusen,31-114,1992,16.7,1749,1720,25,18,6,10,3,6,0,0,0,0,1610,4,17
Dan-Axel Zagadou,fr FRA,DF,Stuttgart,24-230,1999,14.1,1238,1200,37,18,1,4,0,1,0,0,0,0,1082,1,1
Robin Zentner,de GER,GK,Mainz 05,29-083,1994,13.0,433,333,97,30,0,1,0,0,0,0,0,0,313,3,0
Cedric Zesiger,ch SUI,DF,Wolfsburg,25-209,1998,10.4,703,655,47,25,0,2,2,16,0,0,0,0,590,1,12
Michael Zetterer,de GER,GK,Werder Bremen,28-191,1995,10.0,414,324,85,30,0,0,0,0,0,0,0,0,338,5,0
Christoph Zimmermann,de GER,DF,Darmstadt 98,31-007,1993,4.9,188,180,8,7,0,0,0,1,0,0,0,0,153,0,2
Simon Zoller,de GER,"FW,MF",Bochum,32-207,1991,0.5,8,6,2,0,0,0,0,0,0,0,0,0,5,0,1
