Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Rasmus Carstensen,dk DEN,"DF,FW",Köln,23-100,2000,12.7,592,479,113,6,1,0,41,107,0,0,0,0,416,0,34
Fabio Carvalho,pt POR,MF,RB Leipzig,21-142,2002,1.8,92,90,2,0,1,0,6,1,1,0,0,0,72,0,4
Koen Casteels,be BEL,GK,Wolfsburg,31-208,1992,14.0,525,400,124,29,0,1,0,0,0,0,0,0,394,1,0
Václav Černý,cz CZE,"FW,MF",Wolfsburg,26-094,1997,6.8,228,211,17,5,3,2,23,4,8,6,1,0,157,0,11
Julian Chabot,de GER,DF,Köln,25-341,1998,14.4,862,771,89,51,0,5,3,1,0,0,0,0,739,2,4
Fares Chaïbi,dz ALG,"MF,FW",Eint Frankfurt,21-052,2002,10.4,434,361,69,15,2,1,72,11,38,17,20,0,277,4,18
Fabio Chiarodia,it ITA,"DF,MF",M'Gladbach,18-228,2005,0.7,31,28,3,1,0,0,0,2,0,0,0,0,23,0,0
Kingsley Coman,fr FRA,FW,Bayern Munich,27-220,1996,9.5,448,435,10,1,1,3,39,4,2,0,0,0,364,3,13
Bambasé Conté,de GER,"FW,MF",Hoffenheim,20-196,2003,0.0,10,10,0,0,0,0,1,0,0,0,0,0,8,0,0
Danny da Costa,de GER,DF,Mainz 05,30-190,1993,8.1,408,310,98,2,0,1,34,96,0,0,0,0,272,0,19
Nicolas Cozza,fr FRA,DF,Wolfsburg,25-011,1999,3.1,192,161,31,0,0,1,4,31,0,0,0,0,147,0,5
Tomáš Čvančara,cz CZE,FW,M'Gladbach,23-159,2000,7.1,144,136,8,0,0,0,0,0,0,0,0,0,99,0,5
Finn Dahmen,de GER,GK,Augsburg,25-298,1998,17.0,779,620,155,58,0,3,0,0,0,0,0,0,591,4,0
Lukas Daschner,de GER,"MF,FW",Bochum,25-110,1998,3.4,99,88,10,3,1,1,10,2,5,4,0,0,62,1,3
David Datro Fofana,ci CIV,"FW,MF",Union Berlin,21-028,2002,7.6,152,147,4,0,0,0,11,1,0,0,0,0,106,1,6
Alphonso Davies,ca CAN,DF,Bayern Munich,23-078,2000,13.1,986,863,123,23,3,1,17,100,0,0,0,0,872,0,17
