Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
David Datro Fofana,ci CIV,"FW,MF",Union Berlin,21-028,2002,7.6,1,26,12,46.2,3.43,1.58,0.04,0.08,15.6,4,0,0,2.8,2.8,0.11,-1.8,-1.8
Alphonso Davies,ca CAN,DF,Bayern Munich,23-078,2000,13.1,0,7,2,28.6,0.53,0.15,0.00,0.00,22.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Olivier Deman,be BEL,DF,Werder Bremen,23-288,2000,9.3,1,9,3,33.3,0.97,0.32,0.11,0.33,13.9,0,0,0,0.6,0.6,0.06,+0.4,+0.4
Ermedin Demirović,ba BIH,"MF,FW",Augsburg,25-300,1998,16.2,8,37,17,45.9,2.28,1.05,0.19,0.41,14.6,0,1,2,7.4,5.8,0.16,+0.6,+1.2
Sepp van den Berg,nl NED,DF,Mainz 05,22-030,2001,14.5,1,7,3,42.9,0.48,0.21,0.14,0.33,8.6,0,0,0,0.7,0.7,0.10,+0.3,+0.3
Justin Diehl,de GER,FW,Köln,19-053,2004,0.3,0,2,0,0.0,5.81,0.00,0.00,,28.0,1,0,0,0.1,0.1,0.04,-0.1,-0.1
Florian Dietz,de GER,FW,Köln,25-169,1998,0.5,0,1,0,0.0,2.05,0.00,0.00,,16.4,0,0,0,0.1,0.1,0.10,-0.1,-0.1
Junior Dina Ebimbe,fr FRA,"MF,DF",Eint Frankfurt,23-059,2000,11.4,3,26,7,26.9,2.28,0.61,0.12,0.43,15.9,0,0,0,2.6,2.6,0.10,+0.4,+0.4
Eren Dinkçi,de GER,"MF,FW",Heidenheim,22-037,2001,14.3,6,27,11,40.7,1.89,0.77,0.22,0.55,21.1,0,0,0,1.9,1.9,0.07,+4.1,+4.1
Ritsu Doan,jp JPN,"MF,FW",Freiburg,25-217,1998,11.8,1,17,8,47.1,1.44,0.68,0.06,0.13,16.3,0,0,0,1.7,1.7,0.10,-0.7,-0.7
Danilho Doekhi,nl NED,DF,Union Berlin,25-203,1998,8.0,1,3,1,33.3,0.37,0.12,0.33,1.00,9.4,0,0,0,0.2,0.2,0.08,+0.8,+0.8
Niklas Dorsch,de GER,MF,Augsburg,26-004,1998,12.7,0,11,0,0.0,0.87,0.00,0.00,,24.3,2,0,0,0.6,0.6,0.05,-0.6,-0.6
Nikola Dovedan,at AUT,"MF,FW",Heidenheim,29-197,1994,2.7,0,4,1,25.0,1.46,0.36,0.00,0.00,19.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Damion Downs,de GER,"FW,MF",Köln,19-197,2004,0.3,0,1,0,0.0,3.75,0.00,0.00,,6.7,0,0,0,0.2,0.2,0.16,-0.2,-0.2
Dion Drena Beljo,hr CRO,"FW,MF",Augsburg,21-324,2002,4.5,2,10,5,50.0,2.24,1.12,0.20,0.40,13.8,0,0,0,1.3,1.3,0.13,+0.7,+0.7
Marvin Ducksch,de GER,FW,Werder Bremen,29-318,1994,15.1,7,27,11,40.7,1.79,0.73,0.19,0.45,19.5,7,2,3,5.5,3.0,0.11,+1.5,+2.0
Maximilian Eggestein,de GER,MF,Freiburg,27-042,1996,16.5,0,22,2,9.1,1.34,0.12,0.00,0.00,21.1,0,0,0,1.3,1.3,0.06,-1.3,-1.3
Lilian Egloff,de GER,"MF,DF",Stuttgart,21-152,2002,1.2,0,3,0,0.0,2.55,0.00,0.00,,19.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Elif Elmas,mk MKD,DF,RB Leipzig,24-117,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Nico Elvedi,ch SUI,DF,M'Gladbach,27-111,1996,12.9,1,8,3,37.5,0.62,0.23,0.13,0.33,11.8,0,0,0,0.4,0.4,0.06,+0.6,+0.6
Arne Engels,be BEL,"MF,DF",Augsburg,20-133,2003,7.7,1,9,3,33.3,1.16,0.39,0.11,0.33,15.8,0,0,0,1.0,1.0,0.12,0.0,0.0
Ohis Felix Uduokhai,de GER,DF,Augsburg,26-132,1997,15.5,1,4,2,50.0,0.26,0.13,0.25,0.50,8.4,0,0,0,0.6,0.6,0.16,+0.4,+0.4
Edimilson Fernandes,ch SUI,DF,Mainz 05,27-279,1996,10.7,0,12,0,0.0,1.12,0.00,0.00,,26.0,3,0,0,0.5,0.5,0.04,-0.5,-0.5
Nacho Ferri,es ESP,"FW,MF",Eint Frankfurt,19-106,2004,0.6,1,2,1,50.0,3.40,1.70,0.50,1.00,15.5,0,0,0,0.7,0.7,0.36,+0.3,+0.3
Max Finkgräfe,de GER,"DF,MF",Köln,19-298,2004,4.1,0,3,2,66.7,0.74,0.49,0.00,0.00,11.0,0,0,0,0.7,0.7,0.23,-0.7,-0.7
Jonas Föhrenbach,de GER,DF,Heidenheim,27-358,1996,15.1,0,5,0,0.0,0.33,0.00,0.00,,20.0,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Emil Forsberg,se SWE,"MF,FW",RB Leipzig,32-088,1991,5.2,2,11,4,36.4,2.13,0.78,0.18,0.50,22.5,1,0,1,1.4,0.6,0.05,+0.6,+1.4
Philipp Förster,de GER,"MF,FW",Bochum,28-349,1995,2.5,0,2,1,50.0,0.81,0.40,0.00,0.00,14.9,0,0,0,0.2,0.2,0.11,-0.2,-0.2
Bartol Franjić,hr CRO,MF,Darmstadt 98,24-005,2000,7.0,0,1,0,0.0,0.14,0.00,0.00,,27.2,0,0,0,0.0,0.0,0.02,0.0,0.0
Marco Friedl,at AUT,DF,Werder Bremen,25-309,1998,12.4,0,2,0,0.0,0.16,0.00,0.00,,31.3,0,0,0,0.0,0.0,0.02,0.0,0.0
Marvin Friedrich,de GER,DF,M'Gladbach,28-037,1995,6.4,0,7,1,14.3,1.09,0.16,0.00,0.00,14.0,0,0,0,0.4,0.4,0.05,-0.4,-0.4
Jeremie Frimpong,nl NED,DF,Leverkusen,23-040,2000,15.6,5,28,15,53.6,1.79,0.96,0.18,0.33,12.9,0,0,0,4.1,4.1,0.15,+0.9,+0.9
Chris Führich,de GER,"FW,MF",Stuttgart,26-010,1998,14.9,5,29,11,37.9,1.95,0.74,0.17,0.45,16.3,1,0,1,4.8,4.0,0.14,+0.2,+1.0
Niclas Füllkrug,de GER,FW,Werder Bremen,30-344,1993,2.0,0,5,1,20.0,2.50,0.50,0.00,0.00,15.6,0,0,0,0.5,0.5,0.09,-0.5,-0.5
Niclas Füllkrug,de GER,FW,Dortmund,30-344,1993,12.1,5,25,10,40.0,2.06,0.83,0.20,0.50,12.2,0,0,0,5.0,5.0,0.21,0.0,0.0
Cristian Gamboa,cr CRC,DF,Bochum,34-087,1989,11.3,0,6,1,16.7,0.53,0.09,0.00,0.00,31.2,0,0,0,0.1,0.1,0.01,-0.1,-0.1
Yannick Gerhardt,de GER,"MF,FW",Wolfsburg,29-312,1994,7.7,1,10,6,60.0,1.29,0.77,0.10,0.17,16.2,0,0,0,0.9,0.9,0.09,+0.1,+0.1
Anwar El Ghazi,nl NED,"MF,DF",Mainz 05,28-261,1995,0.6,0,2,0,0.0,3.33,0.00,0.00,,21.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Benedikt Gimber,de GER,DF,Heidenheim,26-334,1997,7.7,1,3,1,33.3,0.39,0.13,0.33,1.00,9.6,0,0,0,0.5,0.5,0.16,+0.5,+0.5
Matthias Ginter,de GER,DF,Freiburg,30-000,1994,15.3,0,3,1,33.3,0.20,0.07,0.00,0.00,6.4,0,0,0,0.9,0.9,0.31,-0.9,-0.9
Klaus Gjasula,al ALB,"DF,MF",Darmstadt 98,34-036,1989,7.0,0,3,0,0.0,0.43,0.00,0.00,,11.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Serge Gnabry,de GER,"FW,MF",Bayern Munich,28-189,1995,2.5,0,10,3,30.0,3.98,1.19,0.00,0.00,13.0,0,0,0,1.1,1.1,0.12,-1.1,-1.1
Leon Goretzka,de GER,MF,Bayern Munich,28-347,1995,9.4,2,28,7,25.0,2.99,0.75,0.07,0.29,16.5,0,0,0,2.5,2.5,0.09,-0.5,-0.5
Robin Gosens,de GER,"DF,MF",Union Berlin,29-198,1994,10.8,4,15,5,33.3,1.39,0.46,0.27,0.80,12.5,0,0,0,1.1,1.1,0.07,+2.9,+2.9
Mario Götze,de GER,MF,Eint Frankfurt,31-230,1992,9.6,0,3,1,33.3,0.31,0.10,0.00,0.00,12.4,0,0,0,0.6,0.6,0.21,-0.6,-0.6
Jeffrey Gouweleeuw,nl NED,DF,Augsburg,32-193,1991,13.0,0,7,1,14.3,0.54,0.08,0.00,0.00,17.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Jens Grahl,de GER,GK,Eint Frankfurt,35-119,1988,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ryan Gravenberch,nl NED,FW,Bayern Munich,21-248,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Michael Gregoritsch,at AUT,FW,Freiburg,29-276,1994,7.4,3,37,10,27.0,4.99,1.35,0.08,0.30,13.3,0,0,0,4.2,4.2,0.11,-1.2,-1.2
Vincenzo Grifo,it ITA,"MF,FW",Freiburg,30-287,1993,13.1,3,23,7,30.4,1.76,0.54,0.00,0.00,20.8,3,3,3,4.2,1.8,0.08,-1.2,-1.8
Florian Grillitsch,at AUT,"MF,DF",Hoffenheim,28-165,1995,9.6,1,12,2,16.7,1.26,0.21,0.08,0.50,27.6,0,0,0,0.8,0.8,0.07,+0.2,+0.2
Álex Grimaldo,es ESP,DF,Leverkusen,28-121,1995,16.9,7,35,13,37.1,2.07,0.77,0.20,0.54,21.0,8,0,0,2.4,2.4,0.07,+4.6,+4.6
Christian Groß,de GER,"MF,DF",Werder Bremen,34-345,1989,5.1,0,1,0,0.0,0.20,0.00,0.00,,20.7,0,0,0,0.1,0.1,0.08,-0.1,-0.1
Brajan Gruda,de GER,"MF,FW",Mainz 05,19-233,2004,9.2,1,14,7,50.0,1.52,0.76,0.07,0.14,19.1,1,0,0,1.1,1.1,0.08,-0.1,-0.1
Ilia Gruev,bg BUL,MF,Werder Bremen,23-258,2000,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Raphaël Guerreiro,pt POR,"MF,DF",Bayern Munich,30-028,1993,4.2,1,8,2,25.0,1.91,0.48,0.13,0.50,19.4,0,0,0,0.7,0.7,0.09,+0.3,+0.3
Josuha Guilavogui,fr FRA,DF,Mainz 05,33-122,1990,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Serhou Guirassy,gn GUI,FW,Stuttgart,27-313,1996,11.7,17,45,22,48.9,3.84,1.88,0.31,0.64,15.1,2,3,3,11.6,9.2,0.20,+5.4,+4.8
Manuel Gulde,de GER,DF,Freiburg,32-341,1991,9.0,1,8,1,12.5,0.89,0.11,0.13,1.00,10.6,0,0,0,0.8,0.8,0.10,+0.2,+0.2
Robert Gumny,pl POL,DF,Augsburg,25-229,1998,5.2,0,3,1,33.3,0.58,0.19,0.00,0.00,13.4,0,0,0,0.2,0.2,0.07,-0.2,-0.2
Christian Günter,de GER,DF,Freiburg,30-325,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Janik Haberer,de GER,MF,Union Berlin,29-292,1994,9.6,0,11,1,9.1,1.15,0.10,0.00,0.00,18.1,0,0,0,0.7,0.7,0.06,-0.7,-0.7
Robin Hack,de GER,"FW,MF",M'Gladbach,25-145,1998,4.7,2,16,9,56.3,3.41,1.92,0.13,0.22,17.4,0,0,0,1.7,1.7,0.11,+0.3,+0.3
Amadou Haidara,ml MLI,MF,RB Leipzig,25-353,1998,7.1,0,12,4,33.3,1.69,0.56,0.00,0.00,21.8,0,0,0,0.7,0.7,0.06,-0.7,-0.7
Sébastien Haller,ci CIV,FW,Dortmund,29-211,1994,4.0,0,6,1,16.7,1.50,0.25,0.00,0.00,10.7,0,0,0,0.9,0.9,0.15,-0.9,-0.9
Andreas Hanche-Olsen,no NOR,DF,Mainz 05,27-002,1997,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Genki Haraguchi,jp JPN,MF,Stuttgart,32-255,1991,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Makoto Hasebe,jp JPN,"DF,MF",Eint Frankfurt,40-001,1984,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Thorgan Hazard,be BEL,DF,Dortmund,30-296,1993,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Dominique Heintz,de GER,DF,Köln,30-157,1993,4.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Benjamin Henrichs,de GER,DF,RB Leipzig,26-330,1997,14.9,1,23,6,26.1,1.55,0.40,0.04,0.17,19.9,3,0,0,1.4,1.4,0.06,-0.4,-0.4
