Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
John Brooks,us USA,DF,Hoffenheim,30-356,1993,13,13,"1,080",12.0,1,0,1,1,0,0,3,0,2.0,2.0,0.1,2.1,2,39,1,0.08,0.00,0.08,0.08,0.08,0.17,0.00,0.17,0.17,0.17
Moritz Broschinski,de GER,"FW,MF",Bochum,23-118,2000,10,2,306,3.4,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.8,4,4,16,0.00,0.00,0.00,0.00,0.00,0.19,0.04,0.22,0.19,0.22
Alexander Brunst,de GER,GK,Darmstadt 98,28-196,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marius Bülter,de GER,"FW,DF",Hoffenheim,30-296,1993,17,10,861,9.6,1,3,4,1,0,0,1,0,1.0,1.0,2.3,3.3,26,31,79,0.10,0.31,0.42,0.10,0.42,0.10,0.24,0.34,0.10,0.34
Jonathan Burkardt,de GER,"MF,FW",Mainz 05,23-192,2000,6,3,264,2.9,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,5,6,19,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22
Oliver Burke,sct SCO,FW,Werder Bremen,26-287,1997,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marnon Busch,de GER,DF,Heidenheim,29-042,1994,7,4,374,4.2,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,9,22,18,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.08,0.03,0.08
Aurélio Buta,pt POR,"DF,MF",Eint Frankfurt,26-343,1997,17,12,969,10.8,1,1,2,1,0,0,3,0,0.3,0.3,0.7,1.0,35,48,71,0.09,0.09,0.19,0.09,0.19,0.03,0.06,0.09,0.03,0.09
Jamie Bynoe-Gittens,eng ENG,"FW,DF",Dortmund,19-164,2004,9,8,451,5.0,1,2,3,1,0,0,1,0,1.2,1.2,0.9,2.1,23,12,39,0.20,0.40,0.60,0.20,0.60,0.24,0.18,0.42,0.24,0.42
Anthony Caci,fr FRA,DF,Mainz 05,26-202,1997,15,14,"1,239",13.8,2,0,2,2,0,0,3,0,0.5,0.5,0.5,1.1,11,63,27,0.15,0.00,0.15,0.15,0.15,0.04,0.04,0.08,0.04,0.08
Emre Can,de GER,"MF,DF",Dortmund,30-007,1994,14,12,"1,045",11.6,1,2,3,0,1,1,3,0,0.9,0.1,1.3,1.4,16,63,9,0.09,0.17,0.26,0.00,0.17,0.08,0.12,0.19,0.01,0.12
Irvin Cardona,fr FRA,"MF,DF",Augsburg,26-164,1997,3,0,54,0.6,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,3,2,6,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.33,0.33
Rasmus Carstensen,dk DEN,"DF,FW",Köln,23-100,2000,15,13,"1,147",12.7,0,0,0,0,0,0,2,1,0.3,0.3,1.1,1.4,30,39,68,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.11,0.02,0.11
Fabio Carvalho,pt POR,MF,RB Leipzig,21-142,2002,9,1,165,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,8,9,13,0.00,0.00,0.00,0.00,0.00,0.12,0.13,0.25,0.12,0.25
Koen Casteels,be BEL,GK,Wolfsburg,31-208,1992,14,14,"1,260",14.0,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Václav Černý,cz CZE,"FW,MF",Wolfsburg,26-094,1997,13,8,615,6.8,2,1,3,2,0,0,2,0,1.2,1.2,0.5,1.8,14,22,52,0.29,0.15,0.44,0.29,0.44,0.18,0.08,0.26,0.18,0.26
Julian Chabot,de GER,DF,Köln,25-341,1998,16,16,"1,297",14.4,0,0,0,0,0,0,5,1,0.8,0.8,0.1,0.9,12,35,1,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07
Fares Chaïbi,dz ALG,"MF,FW",Eint Frankfurt,21-052,2002,13,11,938,10.4,1,2,3,1,0,0,1,0,1.2,1.2,2.8,3.9,29,41,73,0.10,0.19,0.29,0.10,0.29,0.11,0.26,0.38,0.11,0.38
Fabio Chiarodia,it ITA,"DF,MF",M'Gladbach,18-228,2005,5,0,62,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kingsley Coman,fr FRA,FW,Bayern Munich,27-220,1996,12,11,853,9.5,3,3,6,3,0,0,1,0,2.4,2.4,3.6,6.1,58,45,141,0.32,0.32,0.63,0.32,0.63,0.26,0.38,0.64,0.26,0.64
Bambasé Conté,de GER,"FW,MF",Hoffenheim,20-196,2003,2,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Danny da Costa,de GER,DF,Mainz 05,30-190,1993,13,8,730,8.1,0,1,1,0,0,0,1,0,0.3,0.3,0.7,1.0,19,38,49,0.00,0.12,0.12,0.00,0.12,0.04,0.09,0.13,0.04,0.13
Nicolas Cozza,fr FRA,DF,Wolfsburg,25-011,1999,6,3,276,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,5,16,8,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.01,0.03
Tomáš Čvančara,cz CZE,FW,M'Gladbach,23-159,2000,13,6,641,7.1,4,1,5,3,1,2,3,0,4.6,3.0,0.7,3.7,8,10,28,0.56,0.14,0.70,0.42,0.56,0.64,0.09,0.74,0.42,0.51
Finn Dahmen,de GER,GK,Augsburg,25-298,1998,17,17,"1,530",17.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Lukas Daschner,de GER,"MF,FW",Bochum,25-110,1998,11,2,305,3.4,1,1,2,1,0,0,2,0,2.2,2.2,0.8,3.0,4,10,19,0.30,0.30,0.59,0.30,0.59,0.63,0.24,0.87,0.63,0.87
David Datro Fofana,ci CIV,"FW,MF",Union Berlin,21-028,2002,12,8,682,7.6,1,0,1,1,0,0,0,0,2.8,2.8,0.3,3.1,20,14,66,0.13,0.00,0.13,0.13,0.13,0.37,0.05,0.41,0.37,0.41
Alphonso Davies,ca CAN,DF,Bayern Munich,23-078,2000,15,14,"1,178",13.1,0,3,3,0,0,0,0,0,0.3,0.3,1.6,1.9,72,67,81,0.00,0.23,0.23,0.00,0.23,0.02,0.12,0.14,0.02,0.14
Olivier Deman,be BEL,DF,Werder Bremen,23-288,2000,13,9,839,9.3,1,1,2,1,0,0,3,0,0.6,0.6,0.5,1.1,11,29,34,0.11,0.11,0.21,0.11,0.21,0.06,0.06,0.12,0.06,0.12
Ermedin Demirović,ba BIH,"MF,FW",Augsburg,25-300,1998,17,17,"1,462",16.2,8,5,13,7,1,2,4,0,7.4,5.8,2.3,8.1,15,28,64,0.49,0.31,0.80,0.43,0.74,0.46,0.14,0.60,0.36,0.50
Sepp van den Berg,nl NED,DF,Mainz 05,22-030,2001,16,14,"1,309",14.5,1,0,1,1,0,0,6,0,0.7,0.7,0.0,0.7,5,61,5,0.07,0.00,0.07,0.07,0.07,0.05,0.00,0.05,0.05,0.05
Justin Diehl,de GER,FW,Köln,19-053,2004,1,0,31,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,0,2,0.00,0.00,0.00,0.00,0.00,0.23,0.31,0.54,0.23,0.54
Florian Dietz,de GER,FW,Köln,25-169,1998,2,0,44,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,6,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21
Junior Dina Ebimbe,fr FRA,"MF,DF",Eint Frankfurt,23-059,2000,16,12,"1,025",11.4,3,1,4,3,0,0,2,0,2.6,2.6,1.6,4.2,34,48,62,0.26,0.09,0.35,0.26,0.35,0.22,0.14,0.37,0.22,0.37
Eren Dinkçi,de GER,"MF,FW",Heidenheim,22-037,2001,16,16,"1,284",14.3,6,0,6,6,0,0,6,0,1.9,1.9,1.3,3.2,42,46,63,0.42,0.00,0.42,0.42,0.42,0.13,0.09,0.22,0.13,0.22
Ritsu Doan,jp JPN,"MF,FW",Freiburg,25-217,1998,16,13,"1,060",11.8,1,0,1,1,0,0,0,0,1.7,1.7,0.9,2.6,25,29,72,0.08,0.00,0.08,0.08,0.08,0.14,0.08,0.22,0.14,0.22
Danilho Doekhi,nl NED,DF,Union Berlin,25-203,1998,8,8,720,8.0,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,1,31,5,0.12,0.00,0.12,0.12,0.12,0.03,0.01,0.04,0.03,0.04
Niklas Dorsch,de GER,MF,Augsburg,26-004,1998,15,14,"1,141",12.7,0,0,0,0,0,0,5,0,0.6,0.6,0.0,0.6,8,39,7,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.05,0.04,0.05
Nikola Dovedan,at AUT,"MF,FW",Heidenheim,29-197,1994,10,1,247,2.7,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,6,10,11,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.11,0.06,0.11
Damion Downs,de GER,"FW,MF",Köln,19-197,2004,3,0,24,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,0,1,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.59,0.59,0.59
Dion Drena Beljo,hr CRO,"FW,MF",Augsburg,21-324,2002,14,3,402,4.5,2,0,2,2,0,0,2,0,1.3,1.3,0.3,1.5,14,11,21,0.45,0.00,0.45,0.45,0.45,0.28,0.06,0.34,0.28,0.34
Marvin Ducksch,de GER,FW,Werder Bremen,29-318,1994,17,16,"1,358",15.1,7,4,11,5,2,3,5,0,5.5,3.0,3.8,6.9,8,46,80,0.46,0.27,0.73,0.33,0.60,0.37,0.25,0.62,0.20,0.46
Maximilian Eggestein,de GER,MF,Freiburg,27-042,1996,17,17,"1,481",16.5,0,0,0,0,0,0,3,0,1.3,1.3,0.9,2.2,20,87,28,0.00,0.00,0.00,0.00,0.00,0.08,0.05,0.13,0.08,0.13
Lilian Egloff,de GER,"MF,DF",Stuttgart,21-152,2002,5,1,106,1.2,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,2,2,2,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15
Elif Elmas,mk MKD,DF,RB Leipzig,24-117,1999,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nico Elvedi,ch SUI,DF,M'Gladbach,27-111,1996,15,13,"1,159",12.9,1,1,2,1,0,0,4,0,0.4,0.4,0.1,0.5,15,47,2,0.08,0.08,0.16,0.08,0.16,0.03,0.01,0.04,0.03,0.04
Arne Engels,be BEL,"MF,DF",Augsburg,20-133,2003,15,7,697,7.7,1,0,1,1,0,0,0,1,1.0,1.0,0.7,1.8,12,17,25,0.13,0.00,0.13,0.13,0.13,0.14,0.10,0.23,0.14,0.23
Ohis Felix Uduokhai,de GER,DF,Augsburg,26-132,1997,16,16,"1,391",15.5,1,0,1,1,0,0,4,1,0.6,0.6,0.3,1.0,12,43,3,0.06,0.00,0.06,0.06,0.06,0.04,0.02,0.06,0.04,0.06
Edimilson Fernandes,ch SUI,DF,Mainz 05,27-279,1996,12,11,967,10.7,0,2,2,0,0,0,4,0,0.5,0.5,0.7,1.2,8,42,8,0.00,0.19,0.19,0.00,0.19,0.04,0.07,0.11,0.04,0.11
Nacho Ferri,es ESP,"FW,MF",Eint Frankfurt,19-106,2004,4,0,53,0.6,1,0,1,1,0,0,0,0,0.7,0.7,0.0,0.7,0,2,5,1.70,0.00,1.70,1.70,1.70,1.21,0.00,1.21,1.21,1.21
Max Finkgräfe,de GER,"DF,MF",Köln,19-298,2004,8,3,367,4.1,0,0,0,0,0,0,0,0,0.7,0.7,0.3,1.0,16,7,17,0.00,0.00,0.00,0.00,0.00,0.17,0.08,0.25,0.17,0.25
