Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Maxence Lacroix,fr FRA,DF,Wolfsburg,23-288,2000,14,14,"1,192",13.2,1,0,1,1,0,0,3,2,0.4,0.4,0.2,0.7,2,54,2,0.08,0.00,0.08,0.08,0.08,0.03,0.02,0.05,0.03,0.05
Aïssa Laïdouni,tn TUN,MF,Union Berlin,27-037,1996,13,8,724,8.0,0,3,3,0,0,0,1,0,0.4,0.4,0.5,0.9,11,42,26,0.00,0.37,0.37,0.00,0.37,0.05,0.07,0.11,0.05,0.11
Konrad Laimer,at AUT,"DF,MF",Bayern Munich,26-237,1997,16,11,"1,093",12.1,0,2,2,0,0,0,2,0,0.5,0.5,2.4,2.8,46,62,60,0.00,0.16,0.16,0.00,0.16,0.04,0.19,0.23,0.04,0.23
Hugo Larsson,se SWE,MF,Eint Frankfurt,19-206,2004,15,14,"1,245",13.8,2,1,3,2,0,0,1,0,1.2,1.2,1.3,2.5,20,40,26,0.14,0.07,0.22,0.14,0.22,0.09,0.09,0.18,0.09,0.18
Diogo Leite,pt POR,DF,Union Berlin,24-361,1999,16,16,"1,405",15.6,0,0,0,0,0,0,2,0,0.7,0.7,0.1,0.8,10,77,2,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
Maxim Leitsch,de GER,DF,Mainz 05,25-246,1998,6,4,370,4.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Christopher Lenz,de GER,"DF,MF",RB Leipzig,29-119,1994,4,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.29,0.00,0.29
Christopher Lenz,de GER,DF,Eint Frankfurt,29-119,1994,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jamie Leweling,de GER,"MF,FW",Stuttgart,22-327,2001,17,6,593,6.6,0,2,2,0,0,0,1,0,2.2,2.2,2.1,4.3,26,10,74,0.00,0.30,0.30,0.00,0.30,0.33,0.32,0.65,0.33,0.65
Philipp Lienhart,at AUT,DF,Freiburg,27-192,1996,14,14,"1,236",13.7,1,0,1,1,0,0,3,0,1.1,1.1,1.1,2.2,14,52,3,0.07,0.00,0.07,0.07,0.07,0.08,0.08,0.16,0.08,0.16
Matthijs de Ligt,nl NED,DF,Bayern Munich,24-160,1999,9,4,369,4.1,1,0,1,1,0,0,2,0,1.2,1.2,0.1,1.3,4,19,1,0.24,0.00,0.24,0.24,0.24,0.30,0.02,0.31,0.30,0.31
Jesper Lindstrøm,dk DEN,FW,Eint Frankfurt,23-324,2000,1,1,83,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,1,9,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20
Dejan Ljubicic,at AUT,"MF,FW",Köln,26-103,1997,15,13,"1,109",12.3,0,0,0,0,0,0,3,0,0.8,0.8,1.4,2.2,26,51,39,0.00,0.00,0.00,0.00,0.00,0.06,0.12,0.18,0.06,0.18
Noah Loosli,ch SUI,"DF,MF",Bochum,26-361,1997,7,0,165,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Anthony Losilla,fr FRA,MF,Bochum,37-315,1986,16,16,"1,306",14.5,1,1,2,1,0,0,4,0,0.9,0.9,0.5,1.4,7,49,20,0.07,0.07,0.14,0.07,0.14,0.06,0.03,0.10,0.06,0.10
Castello Lukeba,fr FRA,DF,RB Leipzig,21-033,2002,16,11,991,11.0,1,0,1,1,0,0,2,0,0.5,0.5,0.1,0.6,11,51,4,0.09,0.00,0.09,0.09,0.09,0.04,0.01,0.05,0.04,0.05
Senne Lynen,be BEL,MF,Werder Bremen,24-334,1999,16,4,450,5.0,0,2,2,0,0,0,2,0,0.1,0.1,0.8,0.9,4,13,9,0.00,0.40,0.40,0.00,0.40,0.02,0.15,0.17,0.02,0.17
Ian Maatsen,nl NED,DF,Dortmund,21-315,2002,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,3,7,2,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.42,0.00,0.42
Matej Maglica,hr CRO,DF,Darmstadt 98,25-116,1998,14,10,831,9.2,1,0,1,1,0,0,3,2,0.4,0.4,0.2,0.6,7,38,4,0.11,0.00,0.11,0.11,0.11,0.04,0.02,0.06,0.04,0.06
Arne Maier,de GER,"MF,DF",Augsburg,25-011,1999,5,0,94,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Linton Maina,de GER,"FW,MF",Köln,24-210,1999,15,13,"1,061",11.8,1,1,2,1,0,0,0,0,0.9,0.9,1.7,2.6,68,27,96,0.08,0.08,0.17,0.08,0.17,0.08,0.14,0.22,0.08,0.22
Patrick Mainka,de GER,DF,Heidenheim,29-074,1994,17,17,"1,530",17.0,2,0,2,2,0,0,1,0,1.8,1.8,0.0,1.8,15,64,2,0.12,0.00,0.12,0.12,0.12,0.10,0.00,0.10,0.10,0.10
Lovro Majer,hr CRO,"MF,FW",Wolfsburg,26-002,1998,17,15,"1,211",13.5,2,3,5,1,1,1,2,0,2.4,1.7,2.2,3.9,30,68,83,0.15,0.22,0.37,0.07,0.30,0.18,0.17,0.35,0.12,0.29
Jordy Makengo,fr FRA,DF,Freiburg,22-169,2001,6,4,398,4.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,14,22,18,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Donyell Malen,nl NED,"FW,MF",Dortmund,25-010,1999,16,12,"1,042",11.6,5,0,5,5,0,0,1,0,5.0,5.0,1.5,6.6,48,33,86,0.43,0.00,0.43,0.43,0.43,0.43,0.13,0.57,0.43,0.57
Lennard Maloney,us USA,MF,Heidenheim,24-103,1999,17,17,"1,422",15.8,0,1,1,0,0,0,0,0,0.5,0.5,0.6,1.1,1,40,10,0.00,0.06,0.06,0.00,0.06,0.03,0.04,0.07,0.03,0.07
David Mamutovic,de GER,DF,Mainz 05,23-045,2000,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Braydon Manu,gh GHA,MF,Darmstadt 98,26-297,1997,2,1,81,0.9,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.4,2,1,8,0.00,0.00,0.00,0.00,0.00,0.37,0.02,0.40,0.37,0.40
Omar Marmoush,eg EGY,"FW,MF",Eint Frankfurt,24-346,1999,15,13,"1,084",12.0,7,3,10,6,1,1,5,0,5.3,4.5,3.1,7.6,37,25,73,0.58,0.25,0.83,0.50,0.75,0.44,0.26,0.70,0.37,0.63
Eric Martel,de GER,MF,Köln,21-265,2002,14,14,"1,205",13.4,0,0,0,0,0,0,2,0,1.4,1.4,0.2,1.6,6,37,20,0.00,0.00,0.00,0.00,0.00,0.10,0.02,0.12,0.10,0.12
Erhan Mašović,rs SRB,DF,Bochum,25-058,1998,15,13,"1,208",13.4,0,0,0,0,0,0,4,0,0.8,0.8,0.3,1.1,1,23,7,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08
Roberto Massimo,de GER,"DF,FW",Stuttgart,23-099,2000,3,0,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Philipp Max,de GER,"DF,MF",Eint Frankfurt,30-111,1993,13,11,841,9.3,0,1,1,0,0,0,2,0,0.1,0.1,1.2,1.2,17,32,35,0.00,0.11,0.11,0.00,0.11,0.01,0.12,0.13,0.01,0.13
Eric Maxim Choupo-Moting,cm CMR,"MF,FW",Bayern Munich,34-302,1989,15,3,334,3.7,2,0,2,2,0,0,1,0,3.9,3.9,1.4,5.3,7,10,33,0.54,0.00,0.54,0.54,0.54,1.05,0.37,1.42,1.05,1.42
Noussair Mazraoui,ma MAR,DF,Bayern Munich,26-066,1997,11,10,820,9.1,0,3,3,0,0,0,3,0,0.8,0.8,1.5,2.2,24,81,52,0.00,0.33,0.33,0.00,0.33,0.09,0.16,0.25,0.09,0.25
Kevin Mbabu,ch SUI,DF,Augsburg,28-275,1995,11,8,804,8.9,0,0,0,0,0,0,1,0,0.1,0.1,0.7,0.8,25,27,34,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.09,0.01,0.09
Noah Mbamba,be BEL,MF,Leverkusen,19-014,2005,2,0,15,0.2,0,1,1,0,0,0,0,0,0.0,0.0,0.6,0.6,1,2,1,0.00,6.00,6.00,0.00,6.00,0.15,3.37,3.52,0.15,3.52
Nathanael Mbuku,fr FRA,FW,Augsburg,21-309,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,1,4,0.00,0.00,0.00,0.00,0.00,0.56,0.69,1.25,0.56,1.25
Marvin Mehlem,de GER,MF,Darmstadt 98,26-130,1997,13,13,972,10.8,3,2,5,3,0,0,3,0,3.6,3.6,0.7,4.3,22,35,50,0.28,0.19,0.46,0.28,0.46,0.33,0.07,0.40,0.33,0.40
Thomas Meunier,be BEL,DF,Dortmund,32-129,1991,5,4,348,3.9,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,10,17,13,0.00,0.00,0.00,0.00,0.00,0.10,0.02,0.12,0.10,0.12
Alexander Meyer,de GER,GK,Dortmund,32-281,1991,1,0,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sven Michel,de GER,"FW,MF",Augsburg,33-188,1990,12,5,445,4.9,1,1,2,0,1,1,2,0,1.0,0.2,0.3,0.6,4,11,25,0.20,0.20,0.40,0.00,0.20,0.21,0.07,0.28,0.05,0.12
Enzo Millot,fr FRA,"MF,FW",Stuttgart,21-186,2002,15,13,"1,118",12.4,2,2,4,2,0,0,2,0,1.3,1.3,2.3,3.6,28,70,94,0.16,0.16,0.32,0.16,0.32,0.11,0.18,0.29,0.11,0.29
Jovan Milošević,rs SRB,FW,Stuttgart,18-172,2005,4,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kim Min-jae,kr KOR,DF,Bayern Munich,27-065,1996,15,15,"1,317",14.6,1,0,1,1,0,0,2,0,0.6,0.6,0.2,0.8,9,89,2,0.07,0.00,0.07,0.07,0.07,0.04,0.02,0.06,0.04,0.06
Maximilian Mittelstädt,de GER,DF,Stuttgart,26-307,1997,15,8,751,8.3,0,2,2,0,0,0,3,0,0.2,0.2,1.8,2.0,27,54,44,0.00,0.24,0.24,0.00,0.24,0.03,0.21,0.24,0.03,0.24
Youssoufa Moukoko,de GER,FW,Dortmund,19-060,2004,9,0,160,1.8,2,0,2,2,0,0,0,0,1.0,1.0,0.0,1.0,8,3,5,1.13,0.00,1.13,1.13,1.13,0.53,0.02,0.55,0.53,0.55
Andreas Müller,de GER,MF,Darmstadt 98,23-183,2000,4,0,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jannik Müller,de GER,DF,Darmstadt 98,30-001,1994,7,7,604,6.7,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,2,16,5,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Kevin Müller,de GER,GK,Heidenheim,32-310,1991,17,17,"1,530",17.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marcus Müller,de GER,MF,Mainz 05,21-152,2002,1,0,18,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.26,0.26,0.26
Thomas Müller,de GER,"MF,FW",Bayern Munich,34-128,1989,14,7,572,6.4,1,6,7,1,0,0,0,0,2.2,2.2,4.9,7.1,16,28,58,0.16,0.94,1.10,0.16,1.10,0.35,0.76,1.11,0.35,1.11
Jamal Musiala,de GER,"MF,FW",Bayern Munich,20-327,2003,11,8,735,8.2,5,2,7,5,0,0,1,0,3.3,3.3,1.9,5.2,38,43,56,0.61,0.24,0.86,0.61,0.86,0.41,0.23,0.64,0.41,0.64
Phillipp Mwene,at AUT,"DF,FW",Mainz 05,29-355,1994,10,10,841,9.3,0,2,2,0,0,0,1,0,0.3,0.3,1.5,1.9,20,32,42,0.00,0.21,0.21,0.00,0.21,0.04,0.16,0.20,0.04,0.20
Joakim Mæhle,dk DEN,DF,Wolfsburg,26-244,1997,16,15,"1,347",15.0,1,1,2,1,0,0,3,0,0.9,0.9,1.3,2.2,43,61,78,0.07,0.07,0.13,0.07,0.13,0.06,0.09,0.15,0.06,0.15
Nathan N'Goumou,fr FRA,"FW,MF",M'Gladbach,23-311,2000,16,7,684,7.6,2,1,3,2,0,0,0,0,1.6,1.6,0.5,2.1,21,19,66,0.26,0.13,0.39,0.26,0.39,0.21,0.07,0.28,0.21,0.28
Stanley N'Soki,fr FRA,DF,Hoffenheim,24-285,1999,3,1,115,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Luca Netz,de GER,DF,M'Gladbach,20-249,2003,15,14,"1,211",13.5,0,3,3,0,0,0,1,0,0.7,0.7,2.2,2.8,25,37,54,0.00,0.22,0.22,0.00,0.22,0.05,0.16,0.21,0.05,0.21
Manuel Neuer,de GER,GK,Bayern Munich,37-298,1986,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Florian Neuhaus,de GER,MF,M'Gladbach,26-309,1997,14,7,607,6.7,3,0,3,3,0,0,1,0,1.7,1.7,0.5,2.2,15,36,19,0.44,0.00,0.44,0.44,0.44,0.25,0.08,0.33,0.25,0.33
Jessic Ngankam,de GER,FW,Eint Frankfurt,23-183,2000,14,2,278,3.1,0,0,0,0,0,1,2,0,1.5,0.7,0.0,0.7,2,1,16,0.00,0.00,0.00,0.00,0.00,0.48,0.01,0.49,0.23,0.24
Moritz Nicolas,de GER,GK,M'Gladbach,26-090,1997,15,15,"1,350",15.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Justin Njinmah,de GER,"FW,MF",Werder Bremen,23-065,2000,15,3,433,4.8,3,2,5,3,0,0,1,0,2.6,2.6,1.6,4.2,11,6,48,0.62,0.42,1.04,0.62,1.04,0.53,0.34,0.87,0.53,0.87
Niels Nkounkou,fr FRA,"DF,MF",Eint Frankfurt,23-079,2000,13,4,507,5.6,1,2,3,1,0,0,0,0,0.3,0.3,1.1,1.4,18,15,27,0.18,0.36,0.53,0.18,0.53,0.05,0.20,0.25,0.05,0.25
Felix Nmecha,de GER,MF,Dortmund,23-101,2000,10,6,605,6.7,0,2,2,0,0,0,2,0,1.0,1.0,0.6,1.5,11,29,18,0.00,0.30,0.30,0.00,0.30,0.14,0.09,0.23,0.14,0.23
Alexander Nübel,de GER,GK,Stuttgart,27-111,1996,17,17,"1,530",17.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fabian Nürnberger,de GER,"DF,MF",Darmstadt 98,24-175,1999,12,11,955,10.6,1,1,2,1,0,0,2,0,0.5,0.5,1.4,1.9,16,41,56,0.09,0.09,0.19,0.09,0.19,0.05,0.13,0.18,0.05,0.18
Tim Oermann,de GER,"DF,MF",Bochum,20-105,2003,6,1,109,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.09,0.00,0.09
Masaya Okugawa,jp JPN,"FW,DF",Augsburg,27-280,1996,2,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Finn Ole Becker,de GER,MF,Hoffenheim,23-225,2000,13,3,347,3.9,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,10,19,19,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.13,0.06,0.13
Mathias Olesen,lu LUX,"MF,FW",Köln,22-304,2001,6,0,112,1.2,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,2,7,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Dani Olmo,es ESP,"MF,FW",RB Leipzig,25-257,1998,6,3,305,3.4,2,1,3,2,0,0,0,0,0.7,0.7,1.4,2.1,7,12,23,0.59,0.30,0.89,0.59,0.89,0.21,0.41,0.62,0.21,0.62
Jonas Omlin,ch SUI,GK,M'Gladbach,30-009,1994,2,2,180,2.0,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,0,0,0,0.00,0.50,0.50,0.00,0.50,0.00,0.18,0.18,0.00,0.18
Karim Onisiwo,at AUT,"FW,MF",Mainz 05,31-308,1992,13,10,887,9.9,0,3,3,0,0,0,0,0,1.0,1.0,1.1,2.1,17,18,73,0.00,0.30,0.30,0.00,0.30,0.11,0.11,0.22,0.11,0.22
Loïs Openda,be BEL,FW,RB Leipzig,23-337,2000,17,17,"1,345",14.9,11,4,15,9,2,2,4,0,12.0,10.4,3.2,13.6,42,22,123,0.74,0.27,1.00,0.60,0.87,0.80,0.22,1.02,0.69,0.91
Leon Opitz,de GER,"FW,DF",Werder Bremen,18-283,2005,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Willi Orban,hu HUN,DF,RB Leipzig,31-077,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,25,2,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Ivan Ordets,ua UKR,DF,Bochum,31-195,1992,9,9,753,8.4,0,0,0,0,0,0,2,0,0.5,0.5,0.3,0.8,3,16,4,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.06,0.09
Patrick Osterhage,de GER,"MF,DF",Bochum,23-352,2000,12,9,862,9.6,2,0,2,2,0,0,2,0,0.7,0.7,0.2,0.9,12,32,38,0.21,0.00,0.21,0.21,0.21,0.07,0.02,0.09,0.07,0.09
Salih Özcan,tr TUR,MF,Dortmund,26-008,1998,10,7,638,7.1,0,0,0,0,0,0,2,0,0.1,0.1,0.7,0.9,9,30,11,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.12,0.02,0.12
Willian Pacho,ec ECU,DF,Eint Frankfurt,22-095,2001,17,17,"1,530",17.0,0,0,0,0,0,0,4,0,0.7,0.7,0.1,0.8,12,66,3,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
Gonçalo Paciência,pt POR,FW,Bochum,29-171,1994,11,5,479,5.3,3,0,3,3,0,0,2,0,2.0,2.0,0.8,2.8,8,17,34,0.56,0.00,0.56,0.56,0.56,0.38,0.14,0.52,0.38,0.52
Exequiel Palacios,ar ARG,MF,Leverkusen,25-106,1998,16,15,"1,295",14.4,3,2,5,2,1,1,5,0,1.8,1.0,2.8,3.8,21,112,34,0.21,0.14,0.35,0.14,0.28,0.13,0.19,0.32,0.07,0.26
Miloš Pantović,rs SRB,MF,Union Berlin,27-196,1996,1,0,15,0.2,1,0,1,1,0,0,0,0,0.8,0.8,0.0,0.8,1,0,1,6.00,0.00,6.00,6.00,6.00,4.55,0.00,4.55,4.55,4.55
Antonios Papadopoulos,de GER,DF,Dortmund,24-131,1999,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Matondo-Merveille Papela,de GER,"MF,DF",Mainz 05,23-001,2001,8,2,202,2.2,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,6,8,8,0.00,0.00,0.00,0.00,0.00,0.04,0.14,0.18,0.04,0.18
Leart Paqarada,xk KVX,DF,Köln,29-103,1994,12,9,864,9.6,0,0,0,0,0,0,0,0,0.2,0.2,1.3,1.5,20,42,22,0.00,0.00,0.00,0.00,0.00,0.02,0.14,0.16,0.02,0.16
Kevin Paredes,us USA,"MF,FW",Wolfsburg,20-257,2003,13,3,350,3.9,1,0,1,1,0,0,1,0,0.9,0.9,0.3,1.2,9,12,32,0.26,0.00,0.26,0.26,0.26,0.23,0.08,0.31,0.23,0.31
Felix Passlack,de GER,DF,Bochum,25-235,1998,7,6,434,4.8,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0.6,2,16,25,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.13,0.05,0.13
Jiří Pavlenka,cz CZE,GK,Werder Bremen,31-280,1992,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aleksandar Pavlovic,de GER,MF,Bayern Munich,19-261,2004,6,3,312,3.5,0,2,2,0,0,0,2,0,0.3,0.3,0.6,0.9,7,27,3,0.00,0.58,0.58,0.00,0.58,0.09,0.18,0.27,0.09,0.27
Mads Pedersen,dk DEN,DF,Augsburg,27-140,1996,15,13,"1,113",12.4,1,1,2,1,0,0,5,0,0.3,0.3,1.4,1.7,31,29,38,0.08,0.08,0.16,0.08,0.16,0.03,0.11,0.14,0.03,0.14
Jordan Pefok,us USA,FW,M'Gladbach,27-268,1996,10,7,522,5.8,3,1,4,3,0,0,0,0,3.1,3.1,0.9,4.0,3,11,30,0.52,0.17,0.69,0.52,0.69,0.54,0.15,0.69,0.54,0.69
Jordan Pefok,us USA,FW,Union Berlin,27-268,1996,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,0.00,0.40
Pavao Pervan,at AUT,GK,Wolfsburg,36-067,1987,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jens Petter Hauge,no NOR,"MF,FW",Eint Frankfurt,24-099,1999,9,0,145,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,7,6,14,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.09,0.05,0.09
Luca Pfeiffer,de GER,"FW,MF",Darmstadt 98,27-152,1996,17,14,"1,090",12.1,1,3,4,1,0,0,3,0,2.7,2.7,1.0,3.7,9,26,51,0.08,0.25,0.33,0.08,0.33,0.22,0.09,0.31,0.22,0.31
Patric Pfeiffer,de GER,DF,Augsburg,24-152,1999,6,4,371,4.1,0,1,1,0,0,0,0,0,0.2,0.2,0.6,0.8,1,12,3,0.00,0.24,0.24,0.00,0.24,0.06,0.14,0.19,0.06,0.19
Maximilian Philipp,de GER,"FW,MF",Freiburg,29-324,1994,7,1,235,2.6,1,0,1,1,0,0,1,0,0.4,0.4,0.1,0.5,2,4,24,0.38,0.00,0.38,0.38,0.38,0.14,0.04,0.18,0.14,0.18
Florian Pick,de GER,"MF,FW",Heidenheim,28-133,1995,12,1,216,2.4,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,7,7,18,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.14,0.06,0.14
Amos Pieper,de GER,DF,Werder Bremen,26-002,1998,6,6,540,6.0,0,0,0,0,0,0,0,0,0.2,0.2,0.8,1.0,3,23,3,0.00,0.00,0.00,0.00,0.00,0.04,0.13,0.17,0.04,0.17
Marvin Pieringer,de GER,"FW,MF",Heidenheim,24-107,1999,15,10,778,8.6,2,0,2,2,0,0,5,0,1.3,1.3,0.8,2.1,14,18,41,0.23,0.00,0.23,0.23,0.23,0.15,0.09,0.24,0.15,0.24
Alassane Pléa,fr FRA,"FW,MF",M'Gladbach,30-315,1993,17,16,"1,234",13.7,7,3,10,6,1,1,1,0,5.5,4.7,2.6,7.4,37,70,99,0.51,0.22,0.73,0.44,0.66,0.40,0.19,0.59,0.35,0.54
Yussuf Poulsen,dk DEN,FW,RB Leipzig,29-218,1994,16,9,874,9.7,3,1,4,3,0,0,0,0,3.7,3.7,0.8,4.5,8,13,62,0.31,0.10,0.41,0.31,0.41,0.38,0.08,0.47,0.38,0.47
Grischa Prömel,de GER,MF,Hoffenheim,29-010,1995,16,16,"1,295",14.4,2,5,7,2,0,0,8,1,2.7,2.7,2.6,5.3,20,60,38,0.14,0.35,0.49,0.14,0.49,0.19,0.18,0.37,0.19,0.37
Gustavo Puerta,co COL,"DF,MF",Leverkusen,20-180,2003,4,0,26,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.23,0.23,0.23
Luca Raimund,de GER,"FW,MF",Stuttgart,18-285,2005,2,0,29,0.3,0,0,0,0,0,0,1,0,0.9,0.9,0.0,0.9,0,1,2,0.00,0.00,0.00,0.00,0.00,2.88,0.00,2.88,2.88,2.88
Grant Ranos,am ARM,"FW,MF",M'Gladbach,20-183,2003,6,0,42,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,2,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
Nicolai Rapp,de GER,DF,Werder Bremen,27-037,1996,2,1,76,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
David Raum,de GER,DF,RB Leipzig,25-272,1998,17,17,"1,499",16.7,2,3,5,2,0,0,2,0,0.7,0.7,3.9,4.6,48,73,152,0.12,0.18,0.30,0.12,0.30,0.04,0.23,0.27,0.04,0.27
Rocco Reitz,de GER,MF,M'Gladbach,21-235,2002,17,14,"1,193",13.3,4,2,6,4,0,0,1,0,2.1,2.1,1.3,3.4,24,60,31,0.30,0.15,0.45,0.30,0.45,0.16,0.09,0.25,0.16,0.25
Marco Reus,de GER,"MF,FW",Dortmund,34-233,1989,14,11,927,10.3,4,2,6,4,0,0,1,0,3.9,3.9,2.4,6.4,11,29,42,0.39,0.19,0.58,0.39,0.58,0.38,0.23,0.62,0.38,0.62
Elvis Rexhbeçaj,de GER,MF,Augsburg,26-079,1997,17,17,"1,462",16.2,2,0,2,1,1,1,3,0,1.4,0.6,0.4,1.0,10,63,35,0.12,0.00,0.12,0.06,0.06,0.09,0.02,0.11,0.04,0.06
