Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Mads Bech Sørensen,dk DEN,"DF,MF",Brentford,23,1999,0.2,1,4.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jan Bednarek,pl POL,DF,Southampton,26,1996,18.6,7,0.38,5,1,0,1,0,0,0,0.00,0,0,0,0,0,0
Jan Bednarek,pl POL,DF,Aston Villa,26,1996,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Donny van de Beek,nl NED,MF,Manchester Utd,25,1997,1.9,6,3.23,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Asmir Begović,ba BIH,GK,Everton,35,1987,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Armel Bella Kotchap,de GER,DF,Southampton,20,2001,20.9,14,0.67,7,0,1,3,2,1,2,0.10,1,0,0,1,0,0
Saïd Benrahma,dz ALG,"FW,MF",West Ham,26,1995,23.0,92,4.00,68,2,11,8,3,0,5,0.22,4,0,1,0,0,0
Rodrigo Bentancur,uy URU,MF,Tottenham,25,1997,16.7,34,2.04,27,0,1,2,1,3,5,0.30,2,0,0,1,0,2
Daniel Bentley,eng ENG,GK,Wolves,29,1993,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Victor Bernth Kristiansen,dk DEN,DF,Leicester City,19,2002,9.9,14,1.41,9,4,0,1,0,0,3,0.30,3,0,0,0,0,0
Owen Bevan,wls WAL,DF,Bournemouth,18,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Giulian Biancone,fr FRA,DF,Nott'ham Forest,22,2000,0.2,1,5.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Philip Billing,dk DEN,"MF,FW",Bournemouth,26,1996,30.7,54,1.76,41,2,5,5,1,0,6,0.20,4,0,0,2,0,0
Yves Bissouma,ml MLI,MF,Tottenham,25,1996,11.2,29,2.58,24,0,1,1,1,2,1,0.09,1,0,0,0,0,0
Willy Boly,ci CIV,DF,Nott'ham Forest,31,1991,7.6,5,0.66,5,0,0,0,0,0,1,0.13,1,0,0,0,0,0
Sven Botman,nl NED,DF,Newcastle Utd,22,2000,34.7,24,0.69,18,1,0,5,0,0,1,0.03,0,0,0,1,0,0
Jarrod Bowen,eng ENG,"FW,MF",West Ham,25,1996,35.9,108,3.01,58,15,10,13,10,2,14,0.39,6,3,0,2,3,0
James Bree,eng ENG,DF,Southampton,24,1997,4.1,6,1.47,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Armando Broja,al ALB,FW,Chelsea,20,2001,3.3,4,1.22,2,0,0,0,2,0,2,0.61,1,0,0,0,1,0
David Brooks,wls WAL,"FW,MF",Bournemouth,25,1997,1.9,8,4.19,5,0,1,1,1,0,0,0.00,0,0,0,0,0,0
Lewis Brunt,eng ENG,DF,Leicester City,21,2000,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Emi Buendía,ar ARG,"MF,FW",Aston Villa,25,1996,26.8,90,3.36,72,2,8,3,4,1,10,0.37,7,0,1,2,0,0
Hugo Bueno,es ESP,DF,Wolves,19,2002,14.6,30,2.06,22,7,0,1,0,0,1,0.07,1,0,0,0,0,0
Facundo Buonanotte,ar ARG,"FW,MF",Brighton,17,2004,6.3,14,2.23,12,0,2,0,0,0,1,0.16,1,0,0,0,0,0
Dan Burn,eng ENG,DF,Newcastle Utd,30,1992,34.6,40,1.16,35,2,0,3,0,0,3,0.09,3,0,0,0,0,0
Cafú,pt POR,MF,Nott'ham Forest,29,1993,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Moisés Caicedo,ec ECU,MF,Brighton,20,2001,34.9,88,2.52,81,0,2,3,1,1,5,0.14,5,0,0,0,0,0
Tom Cairney,sct SCO,MF,Fulham,31,1991,11.0,45,4.10,35,4,1,2,2,1,3,0.27,3,0,0,0,0,0
Duje Ćaleta-Car,hr CRO,DF,Southampton,25,1996,10.5,6,0.57,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Dominic Calvert-Lewin,eng ENG,FW,Everton,25,1997,12.9,24,1.85,16,0,5,1,2,0,4,0.31,2,0,1,0,1,0
Chem Campbell,wls WAL,"FW,MF",Wolves,19,2002,0.8,2,2.43,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0
João Cancelo,pt POR,DF,Manchester City,28,1994,14.2,39,2.76,30,0,2,5,1,1,6,0.42,5,0,1,0,0,0
Thomas Cannon,ie IRL,FW,Everton,19,2002,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Sergi Canós,es ESP,"FW,DF",Brentford,25,1997,0.9,3,3.51,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Diego Carlos,br BRA,DF,Aston Villa,29,1993,2.3,3,1.32,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Fabio Carvalho,pt POR,"MF,FW",Liverpool,19,2002,3.9,9,2.33,5,0,0,2,2,0,2,0.52,1,0,0,1,0,0
Casemiro,br BRA,MF,Manchester Utd,30,1992,23.6,68,2.88,61,0,0,5,2,0,8,0.34,8,0,0,0,0,0
Matty Cash,pl POL,DF,Aston Villa,24,1997,20.2,28,1.38,25,0,1,0,1,1,3,0.15,2,0,0,0,0,1
Timothy Castagne,be BEL,DF,Leicester City,26,1995,36.2,51,1.41,44,2,1,2,1,1,5,0.14,4,0,0,1,0,0
Jonny Castro,es ESP,DF,Wolves,28,1994,14.0,24,1.71,20,0,0,0,3,1,1,0.07,1,0,0,0,0,0
Julio César Enciso,py PAR,"FW,MF",Brighton,18,2004,9.0,45,5.02,28,0,9,6,2,0,7,0.78,3,0,2,1,1,0
Nathaniel Chalobah,eng ENG,MF,Fulham,27,1994,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Trevoh Chalobah,eng ENG,DF,Chelsea,23,1999,17.9,16,0.90,11,0,1,2,2,0,3,0.17,3,0,0,0,0,0
Calum Chambers,eng ENG,"DF,MF",Aston Villa,27,1995,3.9,6,1.53,5,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Shea Charles,nir NIR,DF,Manchester City,18,2003,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ben Chilwell,eng ENG,"DF,MF",Chelsea,25,1996,15.6,39,2.49,19,17,0,1,2,0,4,0.26,2,1,0,0,1,0
Ryan Christie,sct SCO,"MF,FW",Bournemouth,27,1995,20.4,66,3.24,48,5,5,5,3,0,4,0.20,3,0,0,1,0,0
Carney Chukwuemeka,eng ENG,"MF,FW",Chelsea,18,2003,3.9,16,4.07,13,0,0,1,0,2,0,0.00,0,0,0,0,0,0
Bobby Clark,eng ENG,MF,Liverpool,17,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Nathaniel Clyne,eng ENG,DF,Crystal Palace,31,1991,18.2,18,0.99,16,1,0,0,1,0,0,0.00,0,0,0,0,0,0
Conor Coady,eng ENG,DF,Everton,29,1993,23.3,17,0.73,15,0,0,1,1,0,1,0.04,1,0,0,0,0,0
Jack Colback,eng ENG,MF,Nott'ham Forest,32,1989,5.5,3,0.54,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Séamus Coleman,ie IRL,DF,Everton,33,1988,18.4,21,1.14,15,1,1,1,3,0,2,0.11,2,0,0,0,0,0
Nathan Collins,ie IRL,DF,Wolves,21,2001,20.2,11,0.55,8,0,1,0,2,0,0,0.00,0,0,0,0,0,0
Levi Colwill,eng ENG,DF,Brighton,19,2003,13.6,18,1.33,16,1,0,1,0,0,2,0.15,2,0,0,0,0,0
Lewis Cook,eng ENG,MF,Bournemouth,25,1997,19.1,39,2.04,27,8,0,0,1,3,4,0.21,2,1,0,0,0,1
Steve Cook,eng ENG,DF,Nott'ham Forest,31,1991,10.6,6,0.56,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Liam Cooper,sct SCO,DF,Leeds United,30,1991,15.8,16,1.01,13,1,0,2,0,0,3,0.19,3,0,0,0,0,0
Maxwel Cornet,ci CIV,FW,West Ham,25,1996,2.7,6,2.23,4,0,1,0,0,1,0,0.00,0,0,0,0,0,0
Diego Costa,es ESP,FW,Wolves,33,1988,13.8,23,1.67,15,0,3,3,2,0,1,0.07,1,0,0,0,0,0
Vladimír Coufal,cz CZE,DF,West Ham,29,1992,23.7,52,2.19,36,13,0,1,2,0,3,0.13,2,1,0,0,0,0
Philippe Coutinho,br BRA,"MF,FW",Aston Villa,30,1992,8.8,24,2.74,19,1,3,1,0,0,0,0.00,0,0,0,0,0,0
Conor Coventry,ie IRL,"MF,FW",West Ham,22,2000,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Matthew Craig,sct SCO,MF,Tottenham,19,2003,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Aaron Cresswell,eng ENG,DF,West Ham,32,1989,24.8,73,2.94,43,27,0,2,1,0,1,0.04,0,1,0,0,0,0
Marc Cucurella,es ESP,DF,Chelsea,24,1998,18.6,27,1.46,21,6,0,0,0,0,3,0.16,2,1,0,0,0,0
Matheus Cunha,br BRA,FW,Wolves,23,1999,10.7,21,1.96,16,1,1,1,2,0,0,0.00,0,0,0,0,0,0
Patson Daka,zm ZAM,FW,Leicester City,23,1998,13.2,28,2.12,19,1,1,5,2,0,7,0.53,4,0,1,2,0,0
Diogo Dalot,pt POR,DF,Manchester Utd,23,1999,23.9,52,2.17,48,0,1,2,0,1,2,0.08,2,0,0,0,0,0
Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,22,2000,11.0,25,2.28,20,3,0,1,1,0,2,0.18,2,0,0,0,0,0
Danilo,br BRA,MF,Nott'ham Forest,21,2001,10.8,23,2.12,17,1,3,1,1,0,6,0.55,5,0,1,0,0,0
Arnaut Danjuma,nl NED,"FW,MF",Tottenham,25,1997,1.9,4,2.13,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Josh Dasilva,eng ENG,MF,Brentford,23,1998,15.4,42,2.72,36,1,3,1,1,0,7,0.45,5,0,1,0,1,0
Ben Davies,wls WAL,DF,Tottenham,29,1993,25.4,37,1.46,33,1,0,3,0,0,7,0.28,5,0,0,2,0,0
Tom Davies,eng ENG,MF,Everton,24,1998,6.0,6,1.00,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Craig Dawson,eng ENG,DF,West Ham,32,1990,8.0,12,1.50,10,0,0,1,1,0,1,0.12,0,0,0,0,1,0
Craig Dawson,eng ENG,DF,Wolves,32,1990,15.7,6,0.38,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kevin De Bruyne,be BEL,MF,Manchester City,31,1991,26.9,176,6.55,120,33,8,7,5,3,31,1.15,24,3,1,1,2,0
Siriki Dembélé,ci CIV,"FW,MF",Bournemouth,25,1996,1.2,5,4.09,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Leander Dendoncker,be BEL,MF,Aston Villa,27,1995,7.7,8,1.03,6,0,0,1,0,1,0,0.00,0,0,0,0,0,0
Leander Dendoncker,be BEL,MF,Wolves,27,1995,2.4,4,1.68,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Emmanuel Dennis,ng NGA,"FW,MF",Nott'ham Forest,24,1997,8.0,25,3.12,14,1,2,2,6,0,3,0.37,2,0,0,0,1,0
Halil Dervişoğlu,tr TUR,MF,Brentford,22,1999,0.1,1,11.25,0,0,0,1,0,0,1,11.25,0,0,0,1,0,0
Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,23,1998,25.6,78,3.04,61,0,8,2,5,2,9,0.35,6,0,1,0,1,1
Ibrahima Diallo,fr FRA,MF,Southampton,23,1999,9.1,10,1.10,8,0,1,0,0,1,0,0.00,0,0,0,0,0,0
Rúben Dias,pt POR,DF,Manchester City,25,1997,22.2,15,0.68,11,1,0,3,0,0,1,0.05,1,0,0,0,0,0
Luis Díaz,co COL,FW,Liverpool,25,1997,11.1,41,3.70,29,0,7,3,2,0,6,0.54,3,0,2,1,0,0
Eric Dier,eng ENG,DF,Tottenham,28,1994,31.3,29,0.93,24,1,0,4,0,0,2,0.06,1,0,0,1,0,0
Lucas Digne,fr FRA,DF,Aston Villa,29,1993,16.7,29,1.74,24,4,0,0,1,0,0,0.00,0,0,0,0,0,0
Issa Diop,fr FRA,DF,Fulham,25,1997,22.4,9,0.40,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Moussa Djenepo,ml MLI,"DF,FW",Southampton,24,1998,7.9,17,2.15,12,0,2,1,2,0,4,0.51,2,0,2,0,0,0
Ben Doak,sct SCO,FW,Liverpool,16,2005,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Matt Doherty,ie IRL,"DF,MF",Tottenham,30,1992,7.4,18,2.43,13,0,2,2,1,0,3,0.41,2,0,0,1,0,0
Gabriel Dos Santos,br BRA,DF,Arsenal,24,1997,37.9,24,0.63,21,0,0,2,0,1,2,0.05,2,0,0,0,0,0
Abdoulaye Doucouré,ml MLI,MF,Everton,29,1993,17.0,45,2.65,38,0,3,2,0,2,3,0.18,3,0,0,0,0,0
Cheick Doucouré,ml MLI,MF,Crystal Palace,22,2000,30.8,61,1.98,48,0,2,5,2,4,6,0.20,4,0,0,1,0,1
Flynn Downes,eng ENG,MF,West Ham,23,1999,8.5,13,1.54,8,0,0,3,2,0,0,0.00,0,0,0,0,0,0
Kami Doyle,eng ENG,MF,Southampton,16,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Cody Drameh,eng ENG,DF,Leeds United,20,2001,0.8,1,1.30,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Martin Dúbravka,sk SVK,GK,Newcastle Utd,33,1989,1.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Shane Duffy,ie IRL,"DF,FW",Fulham,30,1992,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Lewis Dunk,eng ENG,DF,Brighton,30,1991,36.0,32,0.89,31,0,0,1,0,0,2,0.06,2,0,0,0,0,0
Jhon Durán,co COL,"FW,MF",Aston Villa,18,2003,1.5,5,3.31,3,0,0,1,0,1,0,0.00,0,0,0,0,0,0
Malcolm Ebiowei,eng ENG,"MF,FW",Crystal Palace,18,2003,0.4,1,2.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ederson,br BRA,GK,Manchester City,28,1993,35.0,2,0.06,2,0,0,0,0,0,1,0.03,1,0,0,0,0,0
Odsonne Édouard,fr FRA,FW,Crystal Palace,24,1998,20.0,44,2.20,32,0,1,9,2,0,4,0.20,4,0,0,0,0,0
Samuel Edozie,eng ENG,"FW,MF",Southampton,19,2003,6.3,20,3.18,13,0,3,0,4,0,0,0.00,0,0,0,0,0,0
Anthony Elanga,se SWE,FW,Manchester Utd,20,2002,4.7,17,3.59,13,0,0,3,1,0,1,0.21,1,0,0,0,0,0
Harvey Elliott,eng ENG,"MF,FW",Liverpool,19,2003,17.9,75,4.19,62,1,5,5,1,1,10,0.56,10,0,0,0,0,0
Mohamed Elneny,eg EGY,MF,Arsenal,30,1992,1.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mohamed Elyounoussi,no NOR,"MF,FW",Southampton,27,1994,24.1,41,1.70,34,0,1,2,3,1,4,0.17,4,0,0,0,0,0
Emerson,br BRA,DF,Tottenham,23,1999,19.3,36,1.87,32,0,0,1,2,1,2,0.10,2,0,0,0,0,0
Christian Eriksen,dk DEN,MF,Manchester Utd,30,1992,22.8,71,3.12,50,17,1,3,0,0,9,0.40,6,3,0,0,0,0
Pervis Estupiñán,ec ECU,DF,Brighton,24,1998,29.7,87,2.93,78,4,3,0,2,0,8,0.27,7,0,0,0,1,0
Jonny Evans,nir NIR,DF,Leicester City,34,1988,11.7,4,0.34,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,24,1998,29.3,118,4.03,69,21,11,4,11,2,16,0.55,9,1,5,0,1,0
Łukasz Fabiański,pl POL,GK,West Ham,37,1985,34.6,2,0.06,0,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Fabinho,br BRA,MF,Liverpool,28,1993,29.7,55,1.85,49,0,0,1,2,3,8,0.27,7,0,0,0,1,0
Wout Faes,be BEL,DF,Leicester City,24,1998,31.0,22,0.71,16,0,1,3,0,2,4,0.13,3,0,0,0,0,1
Felipe,br BRA,DF,Nott'ham Forest,33,1989,15.8,15,0.95,10,0,0,4,1,0,1,0.06,1,0,0,0,0,0
João Félix,pt POR,"FW,MF",Chelsea,22,1999,10.5,31,2.96,13,2,6,4,6,0,1,0.10,1,0,0,0,0,0
Evan Ferguson,ie IRL,FW,Brighton,17,2004,10.6,22,2.08,15,0,1,6,0,0,2,0.19,2,0,0,0,0,0
Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,27,1994,36.8,219,5.94,164,26,8,12,9,0,18,0.49,16,0,0,1,1,0
Enzo Fernández,ar ARG,MF,Chelsea,21,2001,17.2,59,3.43,49,6,0,2,2,0,6,0.35,6,0,0,0,0,0
Roberto Firmino,br BRA,"FW,MF",Liverpool,30,1991,13.5,46,3.41,36,0,4,6,0,0,7,0.52,4,0,1,2,0,0
Junior Firpo,es ESP,DF,Leeds United,25,1996,15.2,21,1.38,15,2,0,0,3,1,2,0.13,2,0,0,0,0,0
Phil Foden,eng ENG,FW,Manchester City,22,2000,20.5,99,4.83,76,9,6,5,3,0,14,0.68,10,0,3,0,1,0
Datro Fofana,ci CIV,FW,Chelsea,19,2002,0.8,6,7.71,2,0,4,0,0,0,0,0.00,0,0,0,0,0,0
Wesley Fofana,fr FRA,DF,Leicester City,21,2000,2.0,2,1.00,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Wesley Fofana,fr FRA,DF,Chelsea,21,2000,13.1,13,0.99,13,0,0,0,0,0,2,0.15,2,0,0,0,0,0
Pablo Fornals,es ESP,"FW,MF",West Ham,26,1996,16.7,57,3.41,48,4,1,3,0,1,3,0.18,2,0,1,0,0,0
Adam Forshaw,eng ENG,MF,Leeds United,30,1991,5.3,16,3.00,10,6,0,0,0,0,0,0.00,0,0,0,0,0,0
Fraser Forster,eng ENG,GK,Tottenham,34,1988,13.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Tyrese Francois,au AUS,FW,Fulham,22,2000,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ryan Fraser,sct SCO,FW,Newcastle Utd,28,1994,3.5,8,2.30,6,1,0,1,0,0,0,0.00,0,0,0,0,0,0
Fred,br BRA,MF,Manchester Utd,29,1993,13.9,59,4.25,49,0,1,4,3,2,4,0.29,3,0,0,1,0,0
Ryan Fredericks,eng ENG,DF,Bournemouth,29,1992,5.9,5,0.84,4,0,1,0,0,0,1,0.17,1,0,0,0,0,0
Remo Freuler,ch SUI,MF,Nott'ham Forest,30,1992,24.0,29,1.21,27,1,0,1,0,0,0,0.00,0,0,0,0,0,0
Cody Gakpo,nl NED,"FW,MF",Liverpool,23,1999,16.2,49,3.02,37,0,3,4,3,2,6,0.37,5,0,0,0,1,0
Conor Gallagher,eng ENG,MF,Chelsea,22,2000,18.0,47,2.61,34,4,4,2,2,1,3,0.17,2,0,1,0,0,0
Idrissa Gana Gueye,sn SEN,MF,Everton,32,1989,28.6,51,1.78,36,0,1,2,7,5,3,0.10,2,0,0,0,0,1
Alejandro Garnacho,ar ARG,"FW,MF",Manchester Utd,18,2004,6.3,22,3.48,17,0,3,1,1,0,6,0.95,5,0,1,0,0,0
James Garner,eng ENG,"MF,DF",Everton,21,2001,8.9,19,2.13,13,3,1,1,1,0,2,0.22,2,0,0,0,0,0
David de Gea,es ESP,GK,Manchester Utd,31,1990,38.0,5,0.13,3,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Joe Gelhardt,eng ENG,FW,Leeds United,20,2002,2.4,4,1.70,4,0,0,0,0,0,2,0.85,2,0,0,0,0,0
Saman Ghoddos,ir IRN,"MF,FW",Brentford,28,1993,1.5,4,2.57,1,2,0,1,0,0,0,0.00,0,0,0,0,0,0
Morgan Gibbs-White,eng ENG,"FW,MF",Wolves,22,2000,2.0,4,2.00,2,1,1,0,0,0,0,0.00,0,0,0,0,0,0
Morgan Gibbs-White,eng ENG,"MF,FW",Nott'ham Forest,22,2000,33.0,119,3.60,72,27,9,6,2,3,12,0.36,6,3,1,2,0,0
