Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Panagiotis Retsos,gr GRE,DF,Hellas Verona,it Serie A,23,1998,1.4,56,43,12,3,0,1,0,9,0,0,0,0,44,1,1
Marco Reus,de GER,"MF,FW",Dortmund,de Bundesliga,33,1989,15.0,568,525,42,19,0,1,19,3,6,1,0,0,450,1,21
Alejandro Revuelta Montero,es ESP,DF,Getafe,es La Liga,22,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elvis Rexhbeçaj,de GER,MF,Augsburg,de Bundesliga,24,1997,28.0,911,862,44,20,4,2,17,3,4,3,0,0,622,5,29
Gio Reyna,us USA,"FW,MF",Dortmund,de Bundesliga,19,2002,6.9,314,287,26,10,0,4,17,10,6,1,4,1,248,1,9
Chadi Riad,ma MAR,MF,Barcelona,es La Liga,19,2003,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Nico Ribaudo,es ESP,"MF,FW",Espanyol,es La Liga,21,2001,13.9,454,402,48,15,3,2,44,3,22,14,0,0,352,4,11
Alexsandro Ribeiro,br BRA,DF,Lille,fr Ligue 1,22,1999,17.9,1271,1202,66,48,1,9,4,1,0,0,0,0,1148,3,7
Franck Ribéry,fr FRA,MF,Salernitana,it Serie A,39,1983,0.4,22,21,0,0,0,0,0,0,0,0,0,0,19,1,0
Samuele Ricci,it ITA,MF,Torino,it Serie A,20,2001,23.0,1181,1111,66,52,2,4,31,1,13,12,1,0,1034,4,16
Declan Rice,eng ENG,MF,West Ham,eng Premier League,23,1999,36.4,2135,2060,70,48,4,60,44,3,19,15,1,0,1846,5,26
Chris Richards,us USA,DF,Crystal Palace,eng Premier League,22,2000,5.0,203,190,13,5,0,0,0,8,0,0,0,0,169,0,1
Richarlison,br BRA,"MF,FW",Tottenham,eng Premier League,25,1997,11.2,279,270,9,0,4,1,16,0,0,0,0,0,196,0,13
Marco Richter,de GER,"MF,FW",Hertha BSC,de Bundesliga,24,1997,20.4,747,609,134,18,1,9,82,80,28,4,21,0,461,4,33
Diego Rico,es ESP,DF,Real Sociedad,es La Liga,29,1993,18.3,985,779,202,21,0,7,55,181,0,0,0,0,746,4,21
Jaïro Riedewald,nl NED,"DF,MF",Crystal Palace,eng Premier League,25,1996,0.7,45,38,7,2,0,0,0,4,1,0,0,0,34,0,2
Manuel Riemann,de GER,GK,Bochum,de Bundesliga,33,1988,34.0,1761,1297,453,191,0,21,1,1,0,0,0,0,1065,11,3
Tomás Rincón,ve VEN,MF,Sampdoria,it Serie A,34,1988,28.4,1245,1186,56,36,2,29,21,5,1,0,1,0,1018,3,12
Rémy Riou,fr FRA,GK,Lyon,fr Ligue 1,34,1987,6.7,225,163,62,15,0,0,0,0,0,0,0,0,179,0,0
Renaud Ripart,fr FRA,"FW,MF",Troyes,fr Ligue 1,29,1993,14.7,468,441,26,1,1,1,21,13,0,0,0,0,317,1,14
Rodrigo Riquelme,es ESP,"MF,FW",Girona,es La Liga,22,2000,24.2,715,677,34,13,4,3,78,7,11,6,1,0,497,4,29
Matt Ritchie,sct SCO,"FW,MF",Newcastle Utd,eng Premier League,32,1989,0.4,31,31,0,0,0,0,2,0,0,0,0,0,24,0,3
Sergi Roberto,es ESP,"DF,MF",Barcelona,es La Liga,30,1992,14.5,936,842,91,16,1,7,25,75,0,0,0,0,850,3,10
Lucas Robertone,ar ARG,MF,Almería,es La Liga,25,1997,31.6,1364,1211,147,68,10,15,137,12,64,25,34,0,1051,6,18
Andrew Robertson,sct SCO,DF,Liverpool,eng Premier League,28,1994,28.7,2265,1883,375,65,2,12,195,229,81,23,49,0,1803,7,41
Antonee Robinson,us USA,DF,Fulham,eng Premier League,24,1997,34.3,1910,1582,327,18,0,5,134,309,0,0,0,0,1404,1,51
