Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,npGls,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Glsp90,Astp90,G+Ap90,npGlsp90,npGlsAstp90,xGp90,xAGp90,xG+xAGp90,npxGp90,npxG+xAGp90
Lyanco,br BRA,DF,Southampton,25.0,1997.0,21.0,11.0,"1,180",13.1,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.6,0.6,0.5,1.0,13.0,35.0,4.0,0.08,0.08,0.15,0.08,0.15,0.04,0.04,0.08,0.04,0.08
Noni Madueke,eng ENG,FW,Chelsea,20.0,2002.0,12.0,7.0,643,7.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.5,1.5,48.0,36.0,100.0,0.14,0.0,0.14,0.14,0.14,0.13,0.07,0.2,0.13,0.2
Orel Mangala,be BEL,MF,Nott'ham Forest,24.0,1998.0,27.0,20.0,"1,550",17.2,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.6,0.6,0.4,0.9,14.0,43.0,8.0,0.06,0.06,0.12,0.06,0.12,0.03,0.02,0.06,0.03,0.06
Sekou Mara,fr FRA,"FW,MF",Southampton,20.0,2002.0,22.0,4.0,555,6.2,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8,1.8,7.0,7.0,27.0,0.16,0.32,0.49,0.16,0.49,0.17,0.12,0.29,0.17,0.29
Lisandro Martínez,ar ARG,DF,Manchester Utd,24.0,1998.0,27.0,24.0,"2,114",23.5,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.5,0.5,0.3,0.8,12.0,83.0,2.0,0.04,0.0,0.04,0.04,0.04,0.02,0.01,0.03,0.02,0.03
Joël Matip,cm CMR,DF,Liverpool,30.0,1991.0,14.0,12.0,"1,092",12.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.7,0.7,0.3,1.0,28.0,59.0,2.0,0.08,0.0,0.08,0.08,0.08,0.06,0.02,0.08,0.06,0.08
Neal Maupay,fr FRA,FW,Everton,25.0,1996.0,27.0,11.0,"1,118",12.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,4.8,4.8,0.6,5.4,8.0,11.0,61.0,0.08,0.0,0.08,0.08,0.08,0.39,0.05,0.43,0.39,0.43
John McGinn,sct SCO,"MF,FW",Aston Villa,27.0,1994.0,34.0,30.0,"2,693",29.9,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,2.4,2.4,2.6,5.0,34.0,140.0,66.0,0.03,0.1,0.13,0.03,0.13,0.08,0.09,0.17,0.08,0.17
Scott McTominay,sct SCO,MF,Manchester Utd,25.0,1996.0,24.0,10.0,"1,160",12.9,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,1.9,1.9,0.6,2.5,20.0,33.0,19.0,0.08,0.0,0.08,0.08,0.08,0.15,0.04,0.19,0.15,0.19
Nampalys Mendy,sn SEN,MF,Leicester City,30.0,1992.0,19.0,7.0,757,8.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.2,2.0,28.0,4.0,0.12,0.0,0.12,0.12,0.12,0.02,0.0,0.02,0.02,0.02
Tyrone Mings,eng ENG,DF,Aston Villa,29.0,1993.0,35.0,35.0,"3,150",35.0,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,1.2,1.2,1.4,2.6,20.0,111.0,7.0,0.03,0.06,0.09,0.03,0.09,0.03,0.04,0.07,0.03,0.07
Lucas Moura,br BRA,"MF,DF",Tottenham,29.0,1992.0,15.0,0.0,153,1.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5,0.3,0.9,4.0,13.0,15.0,0.59,0.0,0.59,0.59,0.59,0.32,0.2,0.52,0.32,0.52
Matheus Nunes,pt POR,MF,Wolves,23.0,1998.0,34.0,30.0,"2,467",27.4,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,2.4,2.4,2.2,4.7,59.0,84.0,129.0,0.04,0.04,0.07,0.04,0.07,0.09,0.08,0.17,0.09,0.17
Christian Nørgaard,dk DEN,MF,Brentford,28.0,1994.0,22.0,21.0,"1,763",19.6,1.0,3.0,4.0,1.0,0.0,0.0,6.0,0.0,1.6,1.6,3.1,4.7,4.0,73.0,8.0,0.05,0.15,0.2,0.05,0.2,0.08,0.16,0.24,0.08,0.24
Lewis O'Brien,eng ENG,MF,Nott'ham Forest,23.0,1998.0,13.0,6.0,584,6.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,0.2,0.5,13.0,21.0,3.0,0.15,0.0,0.15,0.15,0.15,0.05,0.03,0.08,0.05,0.08
Amadou Onana,be BEL,MF,Everton,20.0,2001.0,33.0,29.0,"2,488",27.6,1.0,2.0,3.0,1.0,0.0,0.0,9.0,0.0,3.0,3.0,2.6,5.6,27.0,79.0,49.0,0.04,0.07,0.11,0.04,0.11,0.11,0.09,0.2,0.11,0.2
Dango Ouattara,bf BFA,"MF,FW",Bournemouth,20.0,2002.0,19.0,15.0,"1,241",13.8,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,3.6,3.6,2.5,6.1,39.0,23.0,87.0,0.07,0.22,0.29,0.07,0.29,0.26,0.18,0.44,0.26,0.44
Alex Oxlade-Chamberlain,eng ENG,"FW,MF",Liverpool,28.0,1993.0,9.0,4.0,335,3.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.3,1.3,0.9,2.2,11.0,14.0,28.0,0.27,0.0,0.27,0.27,0.27,0.35,0.23,0.58,0.35,0.58
Emerson Palmieri,it ITA,DF,West Ham,27.0,1994.0,22.0,16.0,"1,320",14.7,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,0.9,1.7,38.0,45.0,57.0,0.07,0.0,0.07,0.07,0.07,0.05,0.06,0.12,0.05,0.12
