Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,npGls,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Glsp90,Astp90,G+Ap90,npGlsp90,npGlsAstp90,xGp90,xAGp90,xG+xAGp90,npxGp90,npxG+xAGp90
Fabinho,br BRA,MF,Liverpool,28.0,1993.0,36.0,31.0,"2,671",29.7,0.0,2.0,2.0,0.0,0.0,0.0,11.0,0.0,0.7,0.7,2.1,2.9,15.0,161.0,39.0,0.0,0.07,0.07,0.0,0.07,0.02,0.07,0.1,0.02,0.1
Felipe,br BRA,DF,Nott'ham Forest,33.0,1989.0,16.0,15.0,"1,418",15.8,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.2,1.2,0.9,2.1,3.0,22.0,4.0,0.0,0.06,0.06,0.0,0.06,0.07,0.06,0.13,0.07,0.13
Enzo Fernández,ar ARG,MF,Chelsea,21.0,2001.0,18.0,18.0,"1,547",17.2,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.8,0.8,2.4,3.2,22.0,168.0,18.0,0.0,0.12,0.12,0.0,0.12,0.05,0.14,0.19,0.05,0.19
Datro Fofana,ci CIV,FW,Chelsea,19.0,2002.0,3.0,1.0,70,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.4,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.31,0.17,0.47,0.31,0.47
Wesley Fofana,fr FRA,DF,Leicester City,21.0,2000.0,2.0,2.0,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06
Adam Forshaw,eng ENG,MF,Leeds United,30.0,1991.0,12.0,5.0,479,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,4.0,33.0,7.0,0.0,0.0,0.0,0.0,0.0,0.01,0.17,0.18,0.01,0.18
Fraser Forster,eng ENG,GK,Tottenham,34.0,1988.0,14.0,13.0,"1,215",13.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyrese Francois,au AUS,FW,Fulham,22.0,2000.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Fraser,sct SCO,FW,Newcastle Utd,28.0,1994.0,8.0,3.0,313,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.4,0.7,8.0,9.0,23.0,0.0,0.0,0.0,0.0,0.0,0.09,0.11,0.2,0.09,0.2
Ryan Fredericks,eng ENG,DF,Bournemouth,29.0,1992.0,12.0,5.0,533,5.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,13.0,15.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
Remo Freuler,ch SUI,MF,Nott'ham Forest,30.0,1992.0,28.0,24.0,"2,161",24.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,0.8,1.2,7.0,54.0,11.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05
Idrissa Gana Gueye,sn SEN,MF,Everton,32.0,1989.0,33.0,32.0,"2,577",28.6,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.7,0.7,1.1,1.8,27.0,98.0,19.0,0.0,0.03,0.03,0.0,0.03,0.03,0.04,0.06,0.03,0.06
James Garner,eng ENG,"MF,DF",Everton,21.0,2001.0,16.0,7.0,804,8.9,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.8,0.8,0.5,1.3,8.0,33.0,18.0,0.0,0.11,0.11,0.0,0.11,0.09,0.06,0.14,0.09,0.14
David de Gea,es ESP,GK,Manchester Utd,31.0,1990.0,38.0,38.0,"3,420",38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Gelhardt,eng ENG,FW,Leeds United,20.0,2002.0,15.0,1.0,212,2.4,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.5,1.3,2.0,6.0,21.0,0.0,0.85,0.85,0.0,0.85,0.36,0.2,0.55,0.36,0.55
Saman Ghoddos,ir IRN,"MF,FW",Brentford,28.0,1993.0,15.0,0.0,139,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,1.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.03,0.27,0.3,0.03,0.3
Morgan Gibbs-White,eng ENG,"FW,MF",Wolves,22.0,2000.0,2.0,2.0,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.1,0.8,4.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.36,0.04,0.4,0.36,0.4
Bryan Gil,es ESP,"MF,FW",Tottenham,21.0,2001.0,4.0,2.0,148,1.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,4.0,5.0,15.0,0.0,0.61,0.61,0.0,0.61,0.06,0.11,0.17,0.06,0.17
Billy Gilmour,sct SCO,MF,Brighton,21.0,2001.0,14.0,7.0,507,5.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.2,0.8,5.0,35.0,4.0,0.0,0.18,0.18,0.0,0.18,0.09,0.04,0.13,0.09,0.13
Ben Godfrey,eng ENG,DF,Everton,24.0,1998.0,13.0,10.0,802,8.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.2,1.2,0.2,1.4,9.0,19.0,7.0,0.0,0.11,0.11,0.0,0.11,0.14,0.02,0.16,0.14,0.16
Joe Gomez,eng ENG,DF,Liverpool,25.0,1997.0,21.0,15.0,"1,466",16.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.2,0.3,15.0,108.0,5.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02
Sergio Gómez,es ESP,"DF,MF",Manchester City,21.0,2000.0,12.0,2.0,349,3.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.2,1.5,10.0,18.0,20.0,0.0,0.26,0.26,0.0,0.26,0.09,0.3,0.39,0.09,0.39
Vicente Guaita,es ESP,GK,Crystal Palace,35.0,1987.0,27.0,27.0,"2,430",27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darko Gyabi,eng ENG,FW,Leeds United,18.0,2004.0,1.0,0.0,8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.72,0.72,0.72
Lewis Hall,eng ENG,DF,Chelsea,17.0,2004.0,9.0,8.0,654,7.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,2.3,3.1,19.0,25.0,41.0,0.0,0.0,0.0,0.0,0.0,0.12,0.31,0.43,0.12,0.43
Luke Harris,wls WAL,"MF,FW",Fulham,17.0,2005.0,3.0,0.0,13,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan Paul van Hecke,nl NED,DF,Brighton,22.0,2000.0,8.0,3.0,295,3.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.0,0.6,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.18,0.18
Dean Henderson,eng ENG,GK,Nott'ham Forest,25.0,1997.0,18.0,18.0,"1,620",18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Henderson,eng ENG,MF,Liverpool,32.0,1990.0,35.0,23.0,"2,074",23.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.4,1.4,3.2,4.5,37.0,189.0,90.0,0.0,0.09,0.09,0.0,0.09,0.06,0.14,0.2,0.06,0.2
Wayne Hennessey,wls WAL,GK,Nott'ham Forest,35.0,1987.0,4.0,3.0,271,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rico Henry,eng ENG,DF,Brentford,25.0,1997.0,37.0,37.0,"3,238",36.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,1.6,1.6,2.7,4.2,55.0,107.0,111.0,0.0,0.06,0.06,0.0,0.06,0.04,0.07,0.12,0.04,0.12
Aaron Hickey,sct SCO,DF,Brentford,20.0,2002.0,26.0,23.0,"1,916",21.3,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.4,0.4,0.4,0.8,41.0,81.0,47.0,0.0,0.05,0.05,0.0,0.05,0.02,0.02,0.04,0.02,0.04
Jack Hinshelwood,eng ENG,FW,Brighton,17.0,2005.0,1.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joseph Hodge,ie IRL,MF,Wolves,19.0,2002.0,6.0,1.0,175,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.3,1.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.13,0.03,0.16,0.13,0.16
Mason Holgate,eng ENG,DF,Everton,25.0,1996.0,8.0,5.0,507,5.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.4,1.4,4.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.18,0.07,0.25,0.18,0.25
Omari Hutchinson,eng ENG,FW,Chelsea,18.0,2003.0,1.0,0.0,23,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Iversen,dk DEN,GK,Leicester City,25.0,1997.0,12.0,12.0,"1,080",12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel James,wls WAL,FW,Leeds United,24.0,1997.0,4.0,2.0,198,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,6.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.12,0.15,0.27,0.12,0.27
Raúl Jiménez,mx MEX,FW,Wolves,31.0,1991.0,15.0,8.0,846,9.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.6,2.6,1.7,4.3,5.0,14.0,45.0,0.0,0.11,0.11,0.0,0.11,0.27,0.18,0.46,0.27,0.46
Ben Johnson,eng ENG,DF,West Ham,22.0,2000.0,17.0,9.0,866,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,15.0,37.0,22.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03
Sam Johnstone,eng ENG,GK,Crystal Palace,29.0,1993.0,9.0,9.0,810,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jorginho,it ITA,MF,Arsenal,30.0,1991.0,14.0,9.0,855,9.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,15.0,99.0,8.0,0.0,0.11,0.11,0.0,0.11,0.02,0.02,0.04,0.02,0.04
Mateo Joseph,eng ENG,"FW,MF",Leeds United,18.0,2003.0,3.0,0.0,26,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.4,0.4
Hamed Junior Traorè,ci CIV,"FW,MF",Bournemouth,22.0,2000.0,7.0,5.0,427,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,1.1,2.1,19.0,26.0,21.0,0.0,0.0,0.0,0.0,0.0,0.19,0.24,0.43,0.19,0.43
James Justin,eng ENG,DF,Leicester City,24.0,1998.0,14.0,14.0,"1,252",13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,20.0,47.0,50.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.05,0.02,0.05
Mathias Jørgensen,dk DEN,DF,Brentford,32.0,1990.0,18.0,11.0,"1,103",12.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,0.2,1.1,1.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.09,0.07,0.09
Sasa Kalajdzic,at AUT,FW,Wolves,25.0,1997.0,1.0,1.0,45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.53,0.53,0.53
Boubacar Kamara,fr FRA,MF,Aston Villa,22.0,1999.0,24.0,21.0,"1,777",19.7,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.8,1.0,16.0,84.0,8.0,0.0,0.05,0.05,0.0,0.05,0.01,0.04,0.05,0.01,0.05
N'Golo Kanté,fr FRA,MF,Chelsea,31.0,1991.0,7.0,6.0,518,5.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,1.9,2.2,19.0,34.0,36.0,0.0,0.17,0.17,0.0,0.17,0.05,0.32,0.38,0.05,0.38
Neeskens Kebano,cd COD,FW,Fulham,30.0,1992.0,17.0,9.0,764,8.5,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.5,2.0,39.0,24.0,68.0,0.0,0.35,0.35,0.0,0.35,0.06,0.18,0.23,0.06,0.23
Thilo Kehrer,de GER,DF,West Ham,25.0,1996.0,27.0,25.0,"2,230",24.8,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,0.6,1.1,15.0,60.0,29.0,0.0,0.08,0.08,0.0,0.08,0.02,0.03,0.04,0.02,0.04
Naby Keïta,gn GUI,MF,Liverpool,27.0,1995.0,8.0,3.0,293,3.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.7,1.4,5.0,15.0,21.0,0.0,0.0,0.0,0.0,0.0,0.2,0.22,0.41,0.2,0.41
Caoimhín Kelleher,ie IRL,GK,Liverpool,23.0,1998.0,1.0,1.0,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lloyd Kelly,eng ENG,DF,Bournemouth,23.0,1998.0,23.0,23.0,"2,040",22.7,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.5,0.7,14.0,47.0,10.0,0.0,0.09,0.09,0.0,0.09,0.01,0.02,0.03,0.01,0.03
Max Kilman,eng ENG,DF,Wolves,25.0,1997.0,37.0,37.0,"3,307",36.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.3,1.3,0.2,1.6,30.0,127.0,5.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.04,0.04,0.04
Mateusz Klich,pl POL,"MF,FW",Leeds United,32.0,1990.0,14.0,0.0,280,3.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.2,0.4,5.0,16.0,21.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.12,0.05,0.12
Robin Koch,de GER,DF,Leeds United,26.0,1996.0,36.0,36.0,"3,175",35.3,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.5,1.5,0.4,1.9,11.0,114.0,11.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.06,0.04,0.06
Ibrahima Konaté,fr FRA,DF,Liverpool,23.0,1999.0,18.0,17.0,"1,552",17.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.2,1.2,0.1,1.4,7.0,56.0,5.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08
Ezri Konsa,eng ENG,DF,Aston Villa,24.0,1997.0,38.0,37.0,"3,322",36.9,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.1,1.1,1.3,2.3,7.0,56.0,11.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06
Emil Krafth,se SWE,DF,Newcastle Utd,27.0,1994.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Layvin Kurzawa,fr FRA,DF,Fulham,29.0,1992.0,3.0,2.0,135,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tariq Lamptey,gh GHA,DF,Brighton,21.0,2000.0,20.0,3.0,453,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,0.4,28.0,26.0,58.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08
Aymeric Laporte,es ESP,DF,Manchester City,28.0,1994.0,12.0,11.0,993,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.7,30.0,85.0,11.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06
Juan Larios,es ESP,DF,Southampton,18.0,2004.0,5.0,2.0,152,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamaal Lascelles,eng ENG,DF,Newcastle Utd,28.0,1993.0,7.0,2.0,218,2.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.0,0.1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
Dexter Lembikisa,jm JAM,DF,Wolves,18.0,2003.0,1.0,0.0,23,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mario Lemina,ga GAB,MF,Wolves,28.0,1993.0,19.0,17.0,"1,299",14.4,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.3,0.3,0.3,0.6,6.0,42.0,9.0,0.0,0.07,0.07,0.0,0.07,0.02,0.02,0.04,0.02,0.04
Clément Lenglet,fr FRA,DF,Tottenham,27.0,1995.0,26.0,24.0,"2,019",22.4,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.6,1.6,33.0,85.0,7.0,0.0,0.09,0.09,0.0,0.09,0.04,0.03,0.07,0.04,0.07
Bernd Leno,de GER,GK,Fulham,30.0,1992.0,36.0,36.0,"3,240",36.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamal Lewis,nir NIR,"DF,FW",Newcastle Utd,24.0,1998.0,2.0,0.0,11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rico Lewis,eng ENG,"DF,MF",Manchester City,17.0,2004.0,14.0,10.0,903,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,1.5,1.7,22.0,48.0,26.0,0.0,0.0,0.0,0.0,0.0,0.02,0.15,0.17,0.02,0.17
Keane Lewis-Potter,eng ENG,"FW,MF",Brentford,21.0,2001.0,10.0,3.0,321,3.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.2,1.7,8.0,6.0,39.0,0.0,0.28,0.28,0.0,0.28,0.14,0.35,0.49,0.14,0.49
Victor Lindelöf,se SWE,DF,Manchester Utd,28.0,1994.0,20.0,14.0,"1,365",15.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,3.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
Jesse Lingard,eng ENG,"FW,MF",Nott'ham Forest,29.0,1992.0,17.0,12.0,923,10.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7,1.7,11.0,33.0,38.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.17,0.1,0.17
Valentino Livramento,eng ENG,"DF,FW",Southampton,19.0,2002.0,2.0,0.0,28,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diego Llorente,es ESP,DF,Leeds United,28.0,1993.0,8.0,7.0,649,7.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.0,0.7,2.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1
Hugo Lloris,fr FRA,GK,Tottenham,35.0,1986.0,25.0,25.0,"2,205",24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renan Lodi,br BRA,DF,Nott'ham Forest,24.0,1998.0,28.0,26.0,"2,214",24.6,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,1.2,2.1,24.0,31.0,70.0,0.0,0.04,0.04,0.0,0.04,0.04,0.05,0.09,0.04,0.09
Ruben Loftus-Cheek,eng ENG,"MF,DF",Chelsea,26.0,1996.0,25.0,19.0,"1,536",17.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,1.5,2.4,56.0,90.0,86.0,0.0,0.06,0.06,0.0,0.06,0.05,0.09,0.14,0.05,0.14
Jamal Lowe,jm JAM,"MF,FW",Bournemouth,28.0,1994.0,2.0,0.0,12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saša Lukić,rs SRB,MF,Fulham,25.0,1996.0,12.0,4.0,412,4.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,8.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
Harry Maguire,eng ENG,DF,Manchester Utd,29.0,1993.0,16.0,8.0,767,8.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,0.0,0.4,8.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
Kobbie Mainoo,eng ENG,MF,Manchester Utd,17.0,2005.0,1.0,0.0,11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ainsley Maitland-Niles,eng ENG,"DF,MF",Southampton,24.0,1997.0,22.0,13.0,"1,407",15.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.7,0.7,15.0,57.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05
Tyrell Malacia,nl NED,DF,Manchester Utd,22.0,1999.0,22.0,14.0,"1,396",15.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.2,0.2,0.7,0.9,19.0,44.0,33.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06
Javier Manquillo,es ESP,DF,Newcastle Utd,28.0,1994.0,4.0,0.0,37,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emiliano Marcondes,dk DEN,MF,Bournemouth,27.0,1995.0,1.0,0.0,9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marquinhos,br BRA,MF,Arsenal,19.0,2003.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emiliano Martínez,ar ARG,GK,Aston Villa,29.0,1992.0,36.0,36.0,"3,139",34.9,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
Pape Matar Sarr,sn SEN,"MF,FW",Tottenham,19.0,2002.0,11.0,2.0,218,2.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.4,1.0,13.0,0.0,0.0,0.41,0.41,0.0,0.41,0.03,0.14,0.17,0.03,0.17
Kevin Mbabu,ch SUI,"DF,FW",Fulham,27.0,1995.0,6.0,1.0,144,1.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.4,4.0,8.0,11.0,0.0,0.62,0.62,0.0,0.62,0.0,0.25,0.25,0.0,0.25
James McArthur,sct SCO,MF,Crystal Palace,34.0,1987.0,4.0,0.0,54,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
