Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Lucas Alario,ar ARG,"FW,MF",Eint Frankfurt,de Bundesliga,29,1992,3.7,8,2.17,6,0,1,1,0,0,2,0.54,1,0,0,1,0,0
Jordi Alba,es ESP,DF,Barcelona,es La Liga,33,1989,15.8,59,3.74,52,5,1,1,0,0,6,0.38,5,1,0,0,0,0
Luis Alberto,es ESP,MF,Lazio,it Serie A,29,1992,27.1,115,4.24,80,30,0,4,0,1,15,0.55,13,2,0,0,0,0
Raúl Albiol,es ESP,DF,Villarreal,es La Liga,36,1985,23.5,12,0.51,12,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marc Albrighton,eng ENG,"FW,MF",Leicester City,eng Premier League,32,1989,2.6,7,2.66,5,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,31,1991,13.9,41,2.94,33,0,3,1,1,3,2,0.14,2,0,0,0,0,0
Carlos Alcaraz,ar ARG,"MF,FW",Southampton,eng Premier League,19,2002,11.4,22,1.92,14,0,2,3,2,1,4,0.35,3,0,0,1,0,0
Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,31,1991,22.7,47,2.07,34,9,1,1,2,0,2,0.09,2,0,0,0,0,0
Omar Alderete,py PAR,DF,Getafe,es La Liga,25,1996,22.7,24,1.06,22,0,0,2,0,0,3,0.13,3,0,0,0,0,0
Iván Alejo,es ESP,"MF,FW",Cádiz,es La Liga,27,1995,14.6,40,2.75,27,3,3,5,2,0,0,0.00,0,0,0,0,0,0
Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,19,2002,4.5,1,0.22,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,24,1998,23.5,44,1.87,30,2,1,2,9,0,4,0.17,4,0,0,0,0,0
Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,23,1998,32.5,124,3.82,81,34,3,5,1,0,17,0.52,14,2,1,0,0,0
Alejandro Alfaro,es ESP,MF,Elche,es La Liga,20,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ángel Algobia,es ESP,MF,Getafe,es La Liga,23,1999,12.6,16,1.27,13,0,1,2,0,0,1,0.08,1,0,0,0,0,0
Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,es La Liga,18,2004,6.5,19,2.90,12,1,2,2,1,1,2,0.31,2,0,0,0,0,0
Faride Alidou,de GER,"DF,MF",Eint Frankfurt,de Bundesliga,21,2001,2.0,8,3.87,7,0,1,0,0,0,1,0.48,1,0,0,0,0,0
Alisson,br BRA,GK,Liverpool,eng Premier League,29,1992,37.0,3,0.08,3,0,0,0,0,0,2,0.05,2,0,0,0,0,0
Jim Allevinah,ga GAB,"DF,FW",Clermont Foot,fr Ligue 1,27,1995,24.9,48,1.93,39,1,3,2,3,0,2,0.08,1,0,0,1,0,0
Dele Alli,eng ENG,MF,Everton,eng Premier League,26,1996,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Domingos André Ribeiro Almeida,pt POR,MF,Valencia,es La Liga,22,2000,28.2,91,3.22,67,17,1,1,2,3,5,0.18,3,2,0,0,0,0
Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,28,1994,27.7,87,3.14,63,2,10,9,3,0,13,0.47,5,1,5,2,0,0
Marcos Alonso,es ESP,DF,Barcelona,es La Liga,31,1990,13.0,14,1.08,13,0,0,1,0,0,1,0.08,1,0,0,0,0,0
Mickaël Alphonse,gp GLP,DF,Ajaccio,fr Ligue 1,33,1989,15.1,19,1.25,15,1,1,1,0,1,0,0.00,0,0,0,0,0,0
Éder Álvarez Balanta,co COL,"MF,FW",Schalke 04,de Bundesliga,29,1993,2.6,8,3.03,6,1,0,0,0,1,1,0.38,1,0,0,0,0,0
Carlos Álvarez,es ESP,FW,Sevilla,es La Liga,18,2003,0.1,,,,,,,,,,,,,,,,
Gastón Álvarez,uy URU,DF,Getafe,es La Liga,22,2000,16.7,16,0.96,9,5,0,1,0,1,1,0.06,1,0,0,0,0,0
Julián Álvarez,ar ARG,"FW,MF",Manchester City,eng Premier League,22,2000,16.3,52,3.20,39,0,6,5,2,0,5,0.31,2,0,1,1,1,0
Agustín Álvarez Martínez,uy URU,"FW,MF",Sassuolo,it Serie A,21,2001,4.1,9,2.20,3,0,2,3,1,0,2,0.49,1,0,0,1,0,0
Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,27,1995,25.9,28,1.08,24,1,0,1,1,1,2,0.08,2,0,0,0,0,0
Ibrahim Amadou,fr FRA,"DF,MF",Angers,fr Ligue 1,29,1993,4.7,3,0.64,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Selim Amallah,ma MAR,"MF,FW",Valladolid,es La Liga,25,1996,3.0,11,3.69,5,0,4,0,0,2,2,0.67,1,0,1,0,0,0
Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,27,1994,17.9,15,0.84,15,0,0,0,0,0,1,0.06,1,0,0,0,0,0
Amath,sn SEN,"MF,FW",Mallorca,es La Liga,26,1996,13.6,24,1.76,11,0,5,4,3,1,3,0.22,1,0,1,0,1,0
Jordan Amavi,fr FRA,DF,Getafe,es La Liga,28,1994,2.2,2,0.90,2,0,0,0,0,0,1,0.45,1,0,0,0,0,0
Lukáš Ambros,cz CZE,MF,Wolfsburg,de Bundesliga,18,2004,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kelvin Amian,fr FRA,DF,Spezia,it Serie A,24,1998,26.4,45,1.71,34,3,2,4,0,2,3,0.11,1,0,0,2,0,0
Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,20,2002,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Bruno Amione,ar ARG,DF,Sampdoria,it Serie A,20,2002,23.2,12,0.52,6,1,0,4,1,0,2,0.09,1,0,0,1,0,0
Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,25,1996,10.9,36,3.32,23,4,4,1,4,0,5,0.46,3,0,1,0,1,0
Samuel Amo-Ameyaw,eng ENG,MF,Southampton,eng Premier League,16,2006,0.0,1,22.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ethan Ampadu,wls WAL,"DF,MF",Spezia,it Serie A,21,2000,29.3,40,1.36,33,0,0,4,2,1,4,0.14,4,0,0,0,0,0
Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,25,1996,22.2,44,1.98,38,0,0,0,2,4,4,0.18,3,0,0,0,0,1
Ayoub Amraoui,ma MAR,"DF,FW",Nice,fr Ligue 1,18,2004,3.3,4,1.22,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,26,1996,30.9,25,0.81,20,3,0,0,1,1,1,0.03,0,1,0,0,0,0
Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,eng Premier League,19,2002,4.6,22,4.83,16,0,2,0,4,0,1,0.22,1,0,0,0,0,0
Felipe Anderson,br BRA,FW,Lazio,it Serie A,29,1993,32.9,99,3.01,79,1,10,6,3,0,15,0.46,8,0,4,2,1,0
Benjamin André,fr FRA,MF,Lille,fr Ligue 1,31,1990,32.4,70,2.16,62,0,0,3,3,2,6,0.19,5,0,0,0,1,0
Komnen Andrić,rs SRB,FW,Clermont Foot,fr Ligue 1,27,1995,16.1,32,1.99,26,0,2,2,2,0,4,0.25,2,0,0,2,0,0
Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,27,1994,26.7,45,1.68,37,0,0,4,1,3,4,0.15,3,0,0,0,0,1
Angeliño,es ESP,DF,Hoffenheim,de Bundesliga,25,1997,29.1,88,3.03,61,20,1,2,3,1,10,0.34,8,1,0,1,0,0
Fabrizio Angileri,ar ARG,DF,Getafe,es La Liga,28,1994,6.5,5,0.77,3,0,1,0,0,1,2,0.31,1,0,0,0,0,1
Jaidon Anthony,eng ENG,"MF,FW",Bournemouth,eng Premier League,22,1999,14.0,38,2.72,28,3,4,1,1,1,4,0.29,2,0,1,0,1,0
Janis Antiste,fr FRA,FW,Sassuolo,it Serie A,19,2002,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,26,1996,32.6,39,1.20,28,4,2,5,0,0,5,0.15,3,0,0,2,0,0
Josep Antoni Gayá,es ESP,"DF,MF",Mallorca,es La Liga,22,2000,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
José Antonio,es ESP,"MF,DF",Cádiz,es La Liga,18,2004,0.5,1,1.91,1,0,0,0,0,0,1,1.91,1,0,0,0,0,0
Marcos Antônio,br BRA,MF,Lazio,it Serie A,22,2000,6.6,9,1.37,7,0,1,0,1,0,3,0.46,2,0,1,0,0,0
Michail Antonio,jm JAM,FW,West Ham,eng Premier League,32,1990,20.3,39,1.92,24,0,6,4,5,0,9,0.44,6,0,2,1,0,0
Antony,br BRA,"FW,MF",Manchester Utd,eng Premier League,20,2001,20.0,,,,,,,,,,,,,,,,
Valentin Antov,bg BUL,DF,Monza,it Serie A,21,2000,3.4,2,0.59,2,0,0,0,0,0,1,0.29,1,0,0,0,0,0
Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,de Bundesliga,28,1994,22.0,79,3.59,46,16,5,3,9,0,12,0.54,7,1,2,0,2,0
Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,27,1995,2.3,4,1.71,2,0,1,0,0,1,1,0.43,0,0,1,0,0,0
Houssem Aouar,dz ALG,MF,Lyon,fr Ligue 1,24,1998,5.8,15,2.57,9,0,3,3,0,0,2,0.34,2,0,0,0,0,0
Adil Aouchiche,fr FRA,MF,Lorient,fr Ligue 1,20,2002,2.8,5,1.80,3,0,0,1,0,1,0,0.00,0,0,0,0,0,0
Dennis Appiah,fr FRA,"DF,MF",Nantes,fr Ligue 1,30,1992,8.8,11,1.25,8,1,2,0,0,0,1,0.11,1,0,0,0,0,0
Stredair Appuah,fr FRA,"DF,MF",Nantes,fr Ligue 1,18,2004,0.7,6,8.18,5,0,1,0,0,0,1,1.36,1,0,0,0,0,0
Mauro Arambarri,uy URU,MF,Getafe,es La Liga,26,1995,11.0,25,2.27,8,14,1,1,0,1,3,0.27,2,1,0,0,0,0
Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,33,1989,5.5,10,1.83,10,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ronald Araújo,uy URU,DF,Barcelona,es La Liga,23,1999,20.0,18,0.90,15,0,0,3,0,0,6,0.30,5,0,0,1,0,0
Cameron Archer,eng ENG,"FW,MF",Aston Villa,eng Premier League,21,2001,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Taïryk Arconte,fr FRA,FW,Brest,fr Ligue 1,18,2003,1.4,3,2.11,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,29,1993,3.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Joe Aribo,ng NGA,"MF,FW",Southampton,eng Premier League,26,1996,13.6,27,1.99,23,0,1,1,1,1,2,0.15,1,0,1,0,0,0
Adam Armstrong,eng ENG,"FW,MF",Southampton,eng Premier League,25,1997,14.8,24,1.62,19,0,2,1,1,1,2,0.13,1,0,0,0,0,1
Stuart Armstrong,sct SCO,"MF,FW",Southampton,eng Premier League,30,1992,15.6,50,3.20,39,1,0,6,4,0,2,0.13,1,0,0,0,1,0
Marko Arnautović,at AUT,FW,Bologna,it Serie A,33,1989,17.0,44,2.58,36,0,3,2,3,0,5,0.29,3,0,1,0,1,0
Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,28,1994,30.7,82,2.67,41,35,1,3,2,0,10,0.33,5,3,0,1,1,0
Mohamed El Arouch,fr FRA,MF,Lyon,fr Ligue 1,18,2004,0.0,1,90.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Sergio Arribas,es ESP,"MF,FW",Real Madrid,es La Liga,20,2001,0.2,3,14.21,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,27,1994,28.5,1,0.04,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Roberto Arroyo,es ESP,MF,Valladolid,es La Liga,18,2003,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Tolgay Arslan,de GER,MF,Udinese,it Serie A,31,1990,13.5,44,3.28,30,5,3,1,4,1,0,0.00,0,0,0,0,0,0
Ricard Artero,es ESP,"MF,FW",Girona,es La Liga,19,2003,1.5,1,0.68,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Arthur,br BRA,FW,Fiorentina,it Serie A,24,1998,15.9,36,2.26,26,0,2,5,3,0,2,0.13,1,0,0,1,0,0
Santiago Arzamendia,py PAR,"DF,MF",Cádiz,es La Liga,24,1998,5.4,11,2.05,8,2,1,0,0,0,0,0.00,0,0,0,0,0,0
Takuma Asano,jp JPN,"FW,MF",Bochum,de Bundesliga,27,1994,19.0,56,2.94,39,1,2,7,6,1,8,0.42,6,0,1,1,0,0
Santiago Ascacíbar,ar ARG,MF,Cremonese,it Serie A,25,1997,8.1,25,3.09,17,1,0,7,0,0,3,0.37,1,0,0,2,0,0
Sergio Asenjo,es ESP,GK,Valladolid,es La Liga,33,1989,10.0,2,0.20,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Marco Asensio,es ESP,"FW,MF",Real Madrid,es La Liga,26,1996,16.0,76,4.74,47,16,6,4,3,0,12,0.75,7,2,2,0,1,0
Kristoffer Askildsen,no NOR,MF,Lecce,it Serie A,21,2001,8.1,15,1.85,9,4,0,0,2,0,1,0.12,1,0,0,0,0,0
Fisnik Asllani,xk KVX,FW,Hoffenheim,de Bundesliga,19,2002,1.9,8,4.29,6,0,0,0,1,1,1,0.54,1,0,0,0,0,0
Kristjan Asllani,al ALB,MF,Inter,it Serie A,20,2002,6.6,22,3.36,11,9,1,0,1,0,1,0.15,1,0,0,0,0,0
Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,34,1987,31.9,141,4.42,110,8,5,8,9,1,8,0.25,8,0,0,0,0,0
Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,22,2000,2.9,4,1.37,3,1,0,0,0,0,1,0.34,1,0,0,0,0,0
Youcef Atal,dz ALG,"DF,MF",Nice,fr Ligue 1,26,1996,8.7,31,3.58,22,0,4,2,2,1,2,0.23,1,0,1,0,0,0
Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,16,2005,1.9,5,2.60,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,eng Premier League,33,1989,6.2,8,1.30,6,0,0,2,0,0,0,0.00,0,0,0,0,0,0
Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,es La Liga,33,1989,0.1,1,10.00,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Emil Audero,it ITA,GK,Sampdoria,it Serie A,25,1997,25.0,5,0.20,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,27,1994,34.0,77,2.26,54,16,2,1,3,1,7,0.21,6,1,0,0,0,0
Ludwig Augustinsson,se SWE,DF,Aston Villa,eng Premier League,28,1994,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ludwig Augustinsson,se SWE,DF,Mallorca,es La Liga,28,1994,1.5,2,1.36,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Serge Aurier,ci CIV,DF,Nott'ham Forest,eng Premier League,29,1992,21.6,26,1.20,21,2,0,0,2,1,1,0.05,0,1,0,0,0,0
Mathias Autret,fr FRA,"MF,FW",Auxerre,fr Ligue 1,31,1991,14.3,54,3.77,35,12,3,3,0,1,7,0.49,3,2,0,2,0,0
Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,es La Liga,28,1994,19.0,41,2.16,28,2,4,4,2,1,2,0.11,1,0,0,1,0,0
Cédric Avinel,gp GLP,DF,Ajaccio,fr Ligue 1,35,1986,19.9,3,0.15,1,1,0,1,0,0,1,0.05,0,0,0,1,0,0
Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,24,1997,15.6,25,1.60,18,0,2,2,2,1,4,0.26,2,0,1,1,0,0
Yasin Ayari,se SWE,MF,Brighton,eng Premier League,18,2003,0.7,4,5.37,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Mehmet Aydin,de GER,"DF,FW",Schalke 04,de Bundesliga,20,2002,6.3,13,2.07,10,1,0,2,0,0,0,0.00,0,0,0,0,0,0
André Ayew,gh GHA,"FW,MF",Nott'ham Forest,eng Premier League,32,1989,3.5,3,0.86,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,eng Premier League,30,1991,30.2,78,2.59,53,0,9,6,7,3,8,0.27,5,0,1,1,1,0
Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,27,1994,6.1,5,0.83,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,30,1991,22.8,40,1.75,33,0,0,3,2,2,1,0.04,1,0,0,0,0,0
Ayman Azhil,ma MAR,MF,Leverkusen,de Bundesliga,21,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Sardar Azmoun,ir IRN,"FW,MF",Leverkusen,de Bundesliga,27,1995,10.3,33,3.21,27,0,1,2,1,2,4,0.39,1,0,1,1,0,1
César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,32,1989,17.0,25,1.47,25,0,0,0,0,0,1,0.06,1,0,0,0,0,0
Sanoussy Ba,de GER,DF,RB Leipzig,de Bundesliga,18,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Iddrisu Baba,gh GHA,"MF,DF",Mallorca,es La Liga,26,1996,18.9,13,0.67,10,0,0,1,1,1,1,0.05,0,0,0,1,0,0
