Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Jack Hendry,sct SCO,DF,Cremonese,it Serie A,27,1995,2.4,1,0,0,2,1,0,1,1,0,0,0,0,14,8,3,72.7
Wayne Hennessey,wls WAL,GK,Nott'ham Forest,eng Premier League,35,1987,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Benjamin Henrichs,de GER,"DF,MF",RB Leipzig,de Bundesliga,25,1997,24.3,8,0,0,37,28,3,47,35,46,0,0,0,169,22,14,61.1
Henrique,br BRA,"DF,FW",Lyon,fr Ligue 1,28,1994,4.0,0,0,0,5,11,1,4,5,4,0,0,0,15,10,5,66.7
Luiz Henrique,br BRA,FW,Betis,es La Liga,21,2001,20.1,6,0,0,25,41,5,31,14,34,0,0,0,127,27,41,39.7
Matheus Henrique,br BRA,MF,Sassuolo,it Serie A,24,1997,21.6,4,0,0,22,33,1,9,12,12,0,0,0,97,11,19,36.7
Rico Henry,eng ENG,DF,Brentford,eng Premier League,25,1997,36.0,4,0,0,32,38,2,87,30,31,1,0,0,197,40,55,42.1
Thomas Henry,fr FRA,FW,Hellas Verona,it Serie A,27,1994,11.4,4,0,0,27,16,9,5,0,3,0,0,0,29,46,39,54.1
Christophe Hérelle,mq MTQ,DF,Brest,fr Ligue 1,29,1992,11.8,2,0,0,13,14,0,2,20,4,0,2,1,58,11,10,52.4
Mario Hermoso,es ESP,DF,Atlético Madrid,es La Liga,27,1995,23.4,7,2,2,27,13,2,16,19,15,0,1,0,137,35,27,56.5
Javi Hernández,es ESP,DF,Girona,es La Liga,24,1998,12.4,3,0,0,9,21,1,16,7,12,0,1,0,67,10,10,50.0
Aridane Hernández,es ESP,DF,Osasuna,es La Liga,33,1989,19.9,1,0,0,14,12,0,0,28,15,0,0,1,107,30,15,66.7
Lucas Hernández,fr FRA,DF,Bayern Munich,de Bundesliga,26,1996,5.3,1,0,0,4,4,0,2,5,4,0,0,0,33,4,2,66.7
Luis Hernández,es ESP,DF,Cádiz,es La Liga,33,1989,35.0,8,1,1,27,7,2,18,31,21,0,0,0,148,40,23,63.5
Mario Hernández,es ESP,DF,Rayo Vallecano,es La Liga,23,1999,1.1,1,0,0,1,1,0,1,2,2,0,0,0,3,0,1,0.0
Theo Hernández,fr FRA,DF,Milan,it Serie A,24,1997,30.8,7,0,0,22,57,2,92,21,24,0,0,1,190,37,15,71.2
Jorge Herrando,es ESP,DF,Osasuna,es La Liga,21,2001,0.3,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,100.0
Ander Herrera,es ESP,MF,Athletic Club,es La Liga,32,1989,7.7,4,1,0,20,11,0,7,11,10,0,0,0,53,7,5,58.3
Sergio Herrera,es ESP,GK,Osasuna,es La Liga,29,1993,17.0,3,0,0,1,4,0,0,1,0,0,1,1,12,2,1,66.7
Yangel Herrera,ve VEN,"MF,FW",Girona,es La Liga,24,1998,10.7,4,0,0,34,22,2,19,4,9,0,0,0,45,18,31,36.7
Patrick Herrmann,de GER,"FW,MF",M'Gladbach,de Bundesliga,31,1991,1.8,2,0,0,4,4,0,12,2,2,0,1,0,16,2,5,28.6
Son Heung-min,kr KOR,"MF,FW",Tottenham,eng Premier League,30,1992,32.1,2,0,0,13,36,18,113,13,12,0,0,0,109,9,28,24.3
Aaron Hickey,sct SCO,DF,Brentford,eng Premier League,20,2002,21.3,7,0,0,20,35,1,27,17,26,0,1,0,111,14,22,38.9
Isak Hien,se SWE,DF,Hellas Verona,it Serie A,23,1999,29.0,9,0,0,52,23,0,1,31,36,0,0,0,229,80,53,60.2
Omar El Hilali,ma MAR,"DF,MF",Espanyol,es La Liga,18,2003,1.0,1,0,0,0,2,0,2,1,2,0,0,0,10,2,1,66.7
Piero Hincapié,ec ECU,DF,Leverkusen,de Bundesliga,20,2002,27.3,13,3,2,40,35,1,26,31,34,0,2,0,177,59,48,55.1
Jack Hinshelwood,eng ENG,FW,Brighton,eng Premier League,17,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
